Epoch,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2023-05-04 21:59:57,6.617335053795652e-11,3.7717993948337103e-13,5.979232454643394e-13,5.302433184925365e-13,-2075964.4241900628,73893.63475527776,-6547607.370272403,7217.493284322309,-705.6403822800949,-2305.9873892873643,9.704120874420852e-06,-9.678349764674632e-07,-3.1095807457859337e-06
2023-05-04 22:00:12,9.759809404398144e-11,3.759450216469266e-13,5.953891938352206e-13,5.289916577348613e-13,-1967421.1779754465,63299.33439471712,-6581291.559726994,7254.5992222597315,-706.9003859696412,-2185.16466281998,1.4530934379752836e-05,-1.4099002912382197e-06,-3.866862678947314e-06
2023-05-04 22:00:27,-1.508945597334981e-11,3.747736643114975e-13,5.93044918932982e-13,5.280133412289108e-13,-1858336.3749872257,52687.594412641905,-6613159.080552002,7289.703635739689,-707.9657183343505,-2063.7537317045285,-2.1515173682651323e-06,1.80322337978156e-07,9.440843040664504e-07
2023-05-04 22:00:42,-2.37837624619808e-11,3.7371154175364156e-13,5.908928585912754e-13,5.272976731918886e-13,-1748740.1195326897,42061.33744145697,-6643201.397780857,7322.797475348768,-708.8361291103828,-1941.7879454258916,-3.4139312234948704e-06,2.5993193422668703e-07,1.4448500511576867e-06
2023-05-04 22:00:57,5.880576049499784e-12,3.7275960650352393e-13,5.889385852443783e-13,5.268366667875764e-13,-1638662.5696166798,31423.487266782256,-6671410.188698679,7353.87193079674,-709.5113919706738,-1819.3007056910724,9.259288380469854e-07,-1.1566149027419925e-07,-1.3813087562652981e-08
2023-05-04 22:01:12,6.681673251362715e-12,3.7191636611582483e-13,5.871847060308199e-13,5.266193995159057e-13,-1528134.0980342466,20776.972287097946,-6697777.979597374,7382.91914828611,-709.9913763352602,-1696.3256230955674,1.0291254943783912e-06,-6.47887598084762e-08,-1.2665085691310196e-07
2023-05-04 22:01:27,4.301977638576765e-13,3.7118092834176905e-13,5.856354122006276e-13,5.266363596579717e-13,-1417185.1635722795,10124.722380419807,-6722297.66571051,7409.931683405995,-710.2759925091061,-1572.8963817106128,9.928079935939138e-08,-4.699917505526785e-09,1.4914456514247831e-07
2023-05-04 22:01:42,1.420108121131683e-13,3.705513127538666e-13,5.842940203035412e-13,5.268772381371794e-13,-1305846.3541948125,-530.3312699542148,-6744962.769031523,7434.902772799258,-710.365218589782,-1449.0467506219272,5.286478788057991e-08,-5.324544173623824e-10,1.573283956446403e-07
2023-05-04 22:01:57,1.7173584269185636e-12,3.7002624362110123e-13,5.831656422363245e-13,5.273335895616236e-13,-1194148.3213488036,-11185.25748366293,-6765767.140753153,7457.8260031433665,-710.2590655150568,-1324.8105454266124,3.1248860987709293e-07,-3.5849639881679884e-08,2.562036840458859e-07
2023-05-04 22:02:12,1.4758897960490614e-12,3.696028061779005e-13,5.822537783745088e-13,5.279957502046089e-13,-1082121.8412357538,-21837.12639737429,-6784705.322105484,7478.695680200375,-709.9576077908876,-1200.2216827528384,2.535624175070694e-07,-8.090621932133057e-08,1.8376245414231107e-07
2023-05-04 22:02:27,8.249501881597835e-13,3.6927858480526267e-13,5.81563397358197e-13,5.288559571575157e-13,-969797.7457903988,-32483.009140610044,-6801772.196069393,7497.506466146654,-709.4609531812214,-1075.3141289951777,1.473253075090497e-07,-2.617867200793711e-08,1.4401139836195398e-07
2023-05-04 22:02:42,1.758457555640018e-12,3.690497545593868e-13,5.810977929708913e-13,5.299055755367118e-13,-857206.9651258612,-43119.979497277935,-6816963.322591576,7514.253729731214,-708.7692789137845,-950.1219485827447,2.9225098163720986e-07,4.123024276159182e-09,1.343319837587842e-07
2023-05-04 22:02:57,1.329524523453385e-12,3.689140924667066e-13,5.808614952678438e-13,5.311382072967008e-13,-744380.4736694864,-53745.11317728207,-6830274.601926689,7528.933198706885,-707.8827981071781,-824.6792529852567,2.2964056245466935e-07,-6.413055766985032e-09,2.0976711034847995e-07
2023-05-04 22:03:12,9.231731709967603e-13,3.688724993441313e-13,5.80857074363474e-13,5.325470915937287e-13,-631349.3249271195,-64355.490940126045,-6841702.618595413,7541.54133026916,-706.8017979797362,-699.020243800302,1.843268236934037e-07,4.392588912049966e-08,3.9777198423962545e-07
2023-05-04 22:03:27,6.937743701176036e-13,3.6894511049512176e-13,5.810880686168582e-13,5.341287373894366e-13,-518144.606133416,-74948.19648624715,-6851244.299289948,7552.0749511382,-705.5265996989499,-573.1791577377703,1.2291706519285128e-07,-1.5952368967453445e-08,2.2057280091303255e-07
2023-05-04 22:03:42,1.3920857416325751e-13,3.6922896675968217e-13,5.815558351569476e-13,5.358813258665092e-13,-404797.4603597706,-85520.32023021787,-6858897.255122541,7560.531636690235,-704.0575861292136,-447.19028182888695,2.6352735660317705e-08,-4.57012411247959e-08,1.5507684558713208e-07
2023-05-04 22:03:57,1.0002246333646361e-12,3.7021465938355303e-13,5.822624561627713e-13,5.378093990008823e-13,-291339.05290587014,-96068.95667588919,-6864659.440262068,7566.909332752362,-702.3951702273291,-321.08791834632126,1.6157800220018004e-07,-2.4693971867328912e-09,1.5790077689814552e-07
2023-05-04 22:04:12,9.980670331843856e-13,3.751222802168663e-13,5.832075983603438e-13,5.399093178059536e-13,-177800.5821478304,-106591.20997009064,-6868529.496683887,7571.206718299094,-700.5398236228259,-194.90638020718416,1.5448834431164293e-07,-4.0896022401870624e-08,1.3871277992905107e-07
