,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,162275.0655050709,234463.59567573018,-6881948.821837299,6648.183178305969,3666.755133069163,297.9838773598459
1,2018-12-31 21:59:47,195513.35326152298,252793.72534218387,-6880354.268261552,6647.098318104465,3665.2781932830703,339.83620641990933
2,2018-12-31 21:59:52,228745.71263995318,271116.19223686925,-6878550.474285802,6645.811830398031,3663.690030589053,381.6798278594013
3,2018-12-31 21:59:57,261971.13555716825,289430.4403413318,-6876537.48659071,6644.323737883984,3661.990683956791,423.51348464651466
4,2018-12-31 22:00:02,295188.6140579572,307735.91384000576,-6874315.358142195,6642.634069062942,3660.1801955732217,465.3359197160346
5,2018-12-31 22:00:07,328397.1403441912,326032.05713632156,-6871884.1481915675,6640.742858273887,3658.258610852026,507.1458759740901
6,2018-12-31 22:00:12,361595.7068041156,344318.31486887153,-6869243.922275651,6638.650145733952,3656.225978446672,548.9420963138404
7,2018-12-31 22:00:17,394783.3060418439,362594.13192764815,-6866394.7522167815,6636.355977580742,3654.0823502664093,590.7233236438573
8,2018-12-31 22:00:22,427958.930907068,380858.9534703661,-6863336.716122624,6633.860405914593,3651.827781494116,632.4883009305446
9,2018-12-31 22:00:27,461121.5745249703,399112.2249388764,-6860069.898385757,6631.163488837875,3649.4623306042854,674.2357712551477
10,2018-12-31 22:00:32,494270.23032632144,417353.39207566535,-6856594.389682912,6628.265290488199,3646.9860593789635,715.9644778847365
11,2018-12-31 22:00:37,527403.8920777214,435581.90094042406,-6852910.286973862,6625.165881062528,3644.399032919316,757.6731643551173
12,2018-12-31 22:00:42,560521.5539119308,453797.19792665914,-6849017.693499827,6621.865336829688,3641.7013196507673,799.3605745622128
13,2018-12-31 22:00:47,593622.2103582367,471998.72977831133,-6844916.718781455,6618.363740129864,3638.892991320413,841.0254528573444
14,2018-12-31 22:00:52,626704.8563727787,490185.9436063408,-6840607.478616308,6614.661179360622,3635.9741229863844,882.6665441413028
15,2018-12-31 22:00:57,659768.487368775,508358.28690523957,-6836090.095075872,6610.757748950435,3632.9447929999433,924.2825939522131
