,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,-3332374.615614661,-1720945.6951670682,-5760944.014567454,5548.530200972224,3154.9624759394396,-4139.5260153447
1,2018-12-31 21:59:47,-3304581.1739155054,-1705144.6604314086,-5781553.240981458,5568.818114300951,3165.4352968293474,-4104.14356723955
2,2018-12-31 21:59:52,-3276686.7186239907,-1689291.5036756818,-5801985.241311779,5588.9355364012745,3175.8112316746274,-4068.6357624136363
3,2018-12-31 21:59:57,-3248692.103714576,-1673386.7101119894,-5822239.391485973,5608.88186082692,3186.089968223564,-4033.003685933166
4,2018-12-31 22:00:02,-3220598.186180743,-1657430.7665061904,-5842315.072865925,5628.656486416729,3196.2711972262955,-3997.248426458533
5,2018-12-31 22:00:07,-3192405.82600852,-1641424.1611628642,-5862211.672265729,5648.258817317127,3206.3546124472705,-3961.371076204466
6,2018-12-31 22:00:12,-3164115.8861498893,-1625367.3839102038,-5881928.581969357,5667.688263005272,3216.3399106778943,-3925.3727308981806
7,2018-12-31 22:00:17,-3135729.2324960683,-1609260.9260848535,-5901465.199748094,5686.944238312708,3226.2267917491827,-3889.2544897347
8,2018-12-31 22:00:22,-3107246.7338506817,-1593105.2805166766,-5920820.928877779,5706.0261634489325,3236.0149585440213,-3853.017455328545
9,2018-12-31 22:00:27,-3078669.2619028157,-1576900.9415134678,-5939995.17815576,5724.933464023844,3245.7041170084703,-3816.6627336612023
10,2018-12-31 22:00:32,-3049997.6911999634,-1560648.4048456152,-5958987.3619175935,5743.6655710678115,3255.2939761614066,-3780.191434024255
11,2018-12-31 22:00:37,-3021232.8991208803,-1544348.1677307128,-5977796.900053442,5762.221921047889,3264.7842481017365,-3743.6046689584764
12,2018-12-31 22:00:42,-2992375.7658483703,-1528000.7288181523,-5996423.218024166,5780.601955878652,3274.1746480124234,-3706.903554189786
13,2018-12-31 22:00:47,-2963427.174342035,-1511606.5881736975,-6014865.746877076,5798.8051229263065,3283.464894160547,-3670.0892085634828
14,2018-12-31 22:00:52,-2934388.0103110243,-1495166.2472640774,-6033123.923261371,5816.830875005017,3292.6547078927288,-3633.162753978688
15,2018-12-31 22:00:57,-2905259.1621868173,-1478680.2089416059,-6051197.189443252,5834.678670364789,3301.74381362531,-3596.1253153254625
16,2018-12-31 22:01:02,-2876041.5210960973,-1462148.977428874,-6069084.993320724,5852.347972671027,3310.7319388289975,-3558.978020427422
17,2018-12-31 22:01:07,-2846735.9808337395,-1445573.058303524,-6086786.78843814,5869.838250976712,3319.618814008064,-3521.7219999929125
18,2018-12-31 22:01:12,-2817343.4378359485,-1428952.9584831458,-6104302.034000531,5887.148979689103,3328.4041726748305,-3484.3583875776358
19,2018-12-31 22:01:17,-2787864.791153587,-1412289.1862103073,-6121630.194887759,5904.279638533798,3337.0877513209457,-3446.8883195610388
20,2018-12-31 22:01:22,-2758300.942425667,-1395582.2510377308,-6138770.74166864,5921.229712519702,3345.6692893877043,-3409.312935137626
21,2018-12-31 22:01:27,-2728652.795853009,-1378832.663813618,-6155723.150614991,5937.998691908597,3354.1485292382995,-3371.6333763229477
22,2018-12-31 22:01:32,-2698921.258172045,-1362040.9366670982,-6172486.903715814,5954.586072192751,3362.5252161350986,-3333.85078797231
23,2018-12-31 22:01:37,-2669107.238628694,-1345207.5829937719,-6189061.48869153,5970.991354083012,3370.7990982248557,-3295.9663178088435
24,2018-12-31 22:01:42,-2639211.6489522797,-1328333.1174413105,-6205446.399008424,5987.214043508719,3378.9699265340196,-3257.9811164565594
25,2018-12-31 22:01:47,-2609235.4033294073,-1311418.0558950393,-6221641.133893214,6003.253651629323,3387.0374549752405,-3219.896337473797
26,2018-12-31 22:01:52,-2579179.418377769,-1294462.9154634734,-6237645.198347818,6019.109694856513,3395.0014403648875,-3181.713137382887
27,2018-12-31 22:01:57,-2549044.613119801,-1277468.2144637294,-6253458.103164212,6034.781694885126,3402.8616424502784,-3143.4326756928504
28,2018-12-31 22:02:02,-2518831.9089561873,-1260434.47240679,-6269079.364939429,6050.269178730894,3410.6178239444093,-3105.056114913186
29,2018-12-31 22:02:07,-2488542.2296391325,-1243362.2099825758,-6284508.506090552,6065.571678773701,3418.269750565631,-3066.584620557839
30,2018-12-31 22:02:12,-2458176.501245438,-1226251.9490448171,-6299745.054869736,6080.688732805454,3425.8171910796514,-3028.019361139038
31,2018-12-31 22:02:17,-2427735.652149309,-1209104.212595707,-6314788.545379162,6095.619884082323,3433.259917341616,-2989.361508150826
32,2018-12-31 22:02:22,-2397220.6129948883,-1191919.5247703556,-6329638.51758588,6110.364681381045,3440.5977043363637,-2950.612236041787
33,2018-12-31 22:02:27,-2366632.3166685137,-1174698.4108210474,-6344294.517336493,6124.922679058599,3447.830330215303,-2911.7727221761306
34,2018-12-31 22:02:32,-2335971.6982706576,-1157441.397101324,-6358756.096371605,6139.2934371134925,3454.957576328561,-2872.8441467822845
35,2018-12-31 22:02:37,-2305239.6950875698,-1140149.0110499265,-6373022.812339997,6153.476521245938,3461.979227251044,-2833.827692888657
36,2018-12-31 22:02:42,-2274437.246562629,-1122821.781174616,-6387094.228812433,6167.471502913193,3468.8950708011507,-2794.7245462474875
37,2018-12-31 22:02:47,-2243565.294267436,-1105460.2370359295,-6400969.91529507,6181.277959376193,3475.704898051131,-2755.5358952493684
38,2018-12-31 22:02:52,-2212624.781872702,-1088064.9092309051,-6414649.447242426,6194.895473734141,3482.4085033287042,-2716.2629308327287
39,2018-12-31 22:02:57,-2181616.655118998,-1070636.3293768151,-6428132.406069893,6208.3236349451945,3489.0056842105478,-2676.9068463938106
40,2018-12-31 22:03:02,-2150541.861787447,-1053175.0300949502,-6441418.379165817,6221.562037833339,3495.496241509536,-2637.4688377028856
41,2018-12-31 22:03:07,-2119401.3516703867,-1035681.5449944803,-6454506.959903166,6234.610283083591,3501.879979258839,-2597.9501028315403
42,2018-12-31 22:03:12,-2088196.0765421088,-1018156.4086563912,-6467397.747650899,6247.467977229303,3508.156704696909,-2558.3518420938035
43,2018-12-31 22:03:17,-2056926.9901296478,-1000600.1566174846,-6480090.3477850575,6260.134732636137,3514.3262282574624,-2518.675258001106
44,2018-12-31 22:03:22,-2025595.0480836632,-983013.325354411,-6492584.371699656,6272.610167487022,3520.3883635679763,-2478.921555228289
45,2018-12-31 22:03:27,-1994201.2079493778,-965396.4522676838,-6504879.436817439,6284.89390577122,3526.34292745857,-2439.0919405856534
46,2018-12-31 22:03:32,-1962746.4291375675,-947750.0756656193,-6516975.166600478,6296.985577278755,3532.189739981042,-2399.1876229910276
47,2018-12-31 22:03:37,-1931231.672895557,-930074.7347481687,-6528871.190560636,6308.884817599603,3537.928624435557,-2359.2098134362695
48,2018-12-31 22:03:42,-1899657.9022782193,-912370.9695905967,-6540567.144269838,6320.591268125261,3543.5594074005876,-2319.1597249443603
49,2018-12-31 22:03:47,-1868026.082118962,-894639.3211270225,-6552062.669370081,6332.104576049603,3549.0819187606817,-2279.03857251596
50,2018-12-31 22:03:52,-1836337.1790007253,-876880.3311338321,-6563357.413583194,6343.424394365849,3554.4959917267447,-2238.847573067218
51,2018-12-31 22:03:57,-1804592.161226999,-859094.5422130201,-6574451.030720228,6354.550381857542,3559.801462844744,-2198.5879453631537
52,2018-12-31 22:04:02,-1772791.9987929137,-841282.4977755218,-6585343.180690549,6365.4822030828345,3564.998171990874,-2158.2609099523884
53,2018-12-31 22:04:07,-1740937.663356414,-823444.7420245997,-6596033.529510604,6376.21952835328,3570.0859623537253,-2117.867689109123
54,2018-12-31 22:04:12,-1709030.1282095544,-805581.8199393491,-6606521.7493124185,6386.76203370977,3575.0646804063063,-2077.409506787044
55,2018-12-31 22:04:17,-1677070.3682499107,-787694.2772583591,-6616807.518351925,6397.109400899193,3579.934175872481,-2036.8875885874902
56,2018-12-31 22:04:22,-1645059.3599520992,-769782.6604635441,-6626890.521017127,6407.261317355593,3584.6943016928885,-1996.3031617414972
57,2018-12-31 22:04:27,-1612998.081339375,-751847.5167641365,-6636770.447836259,6417.217476188808,3589.344913995059,-1955.657455102723
58,2018-12-31 22:04:32,-1580887.5119552598,-733889.3940808125,-6646446.995485866,6426.9775761822275,3593.8858720708836,-1914.951699146378
59,2018-12-31 22:04:37,-1548728.6328351619,-715908.8410299089,-6655919.866798932,6436.5413217995865,3598.3170383627985,-1874.1871259686288
60,2018-12-31 22:04:42,-1516522.4264779442,-697906.406907687,-6665188.770772951,6445.908423199045,3602.638278458011,-1833.3649692814963
61,2018-12-31 22:04:47,-1484269.876817402,-679882.6416746113,-6674253.422577999,6455.078596251479,3606.849461088648,-1792.4864643999128
62,2018-12-31 22:04:52,-1451971.9691936562,-661838.095939616,-6683113.543564698,6464.051562559482,3610.950458134966,-1751.5528482199006
63,2018-12-31 22:04:57,-1419629.69032445,-643773.3209443575,-6691768.86127203,6472.827049473744,3614.941144628871,-1710.5653591891119
64,2018-12-31 22:05:02,-1387244.0282763783,-625688.8685474475,-6700219.10943503,6481.4047901044905,3618.821398755858,-1669.5252372727948
65,2018-12-31 22:05:07,-1354815.9724360725,-607585.2912086877,-6708464.027992281,6489.7845233270555,3622.59110185467,-1628.433723919112
66,2018-12-31 22:05:12,-1322346.5134813741,-589463.1419733062,-6716503.363093245,6497.965993782138,3626.250138415247,-1587.2920620275336
67,2018-12-31 22:05:17,-1289836.6433525127,-571322.974456209,-6724336.867105457,6505.948951872397,3629.7983960764063,-1546.1014959229137
68,2018-12-31 22:05:22,-1257287.355223311,-553165.3428262378,-6731964.298621596,6513.733153757675,3633.235765625057,-1504.8632713362256
69,2018-12-31 22:05:27,-1224699.6434724086,-534990.8017904259,-6739385.422466479,6521.3183613508645,3636.5621409984446,-1463.5786353912792
70,2018-12-31 22:05:32,-1192074.503654502,-516799.906578232,-6746600.009704012,6528.704342315938,3639.7774192903053,-1422.2488365955678
71,2018-12-31 22:05:37,-1159412.93247159,-498593.2129257348,-6753607.837644079,6535.890870068603,3642.8815007608787,-1380.875124832957
72,2018-12-31 22:05:42,-1126715.927744206,-480371.2770597696,-6760408.689849412,6542.877723779332,3645.8742888500533,-1339.4587513562963
73,2018-12-31 22:05:47,-1093984.4883826368,-462134.65568199084,-6767002.3561424,6549.664688378042,3648.7556901924245,-1298.000968778925
74,2018-12-31 22:05:52,-1061219.6143581073,-443883.9059528607,-6773388.632611897,6556.251554560028,3651.5256146331544,-1256.5030310650932
75,2018-12-31 22:05:57,-1028422.3066739389,-425619.5854755562,-6779567.321619925,6562.638118793276,3654.183975243746,-1214.9661935200315
76,2018-12-31 22:06:02,-995593.5673366603,-407342.2522797991,-6785538.231808366,6568.82418332825,3656.730688337492,-1173.3917127805196
77,2018-12-31 22:06:07,-962734.3993270646,-389052.4648056073,-6791301.178105598,6574.809556212062,3659.16567348477,-1131.7808468062217
78,2018-12-31 22:06:12,-929845.806571176,-370750.781886973,-6796855.9817330865,6580.594051309035,3661.4888535286254,-1090.134854870915
79,2018-12-31 22:06:17,-896928.7939110954,-352437.76273545716,-6802202.470211929,6586.177488329344,3663.700154601075,-1048.4549975515338
80,2018-12-31 22:06:22,-863984.3670756839,-334113.9669237024,-6807340.477369332,6591.559692866184,3665.7995061402603,-1006.7425367119766
81,2018-12-31 22:06:27,-831013.5326510367,-315779.9543688589,-6812269.843344991,6596.740496440428,3667.7868409081348,-964.9987354783627
82,2018-12-31 22:06:32,-798017.2980507223,-297436.2853159208,-6816990.414597313,6601.719736550037,3669.6620950080696,-923.2248582029472
83,2018-12-31 22:06:37,-764996.6714857727,-279083.52032097644,-6821502.043909438,6606.497256720299,3671.4252079014827,-881.4221704151693
84,2018-12-31 22:06:42,-731952.6619344259,-260722.22023438106,-6825804.5903949635,6611.07290655042,3673.076122422683,-839.5919387599469
85,2018-12-31 22:06:47,-698886.2791116572,-242352.94618385923,-6829897.919503352,6615.446541752184,3674.614784791319,-797.7354309250424
86,2018-12-31 22:06:52,-665798.5334385402,-223976.25955755328,-6833781.903024949,6619.61802417742,3676.0411446220915,-755.8539155606695
87,2018-12-31 22:06:57,-632690.4360115085,-205592.7219870296,-6837456.41909558,6623.58722183238,3677.355154931629,-713.948662195321
88,2018-12-31 22:07:02,-599562.9985715726,-187202.89533025742,-6840921.352200733,6627.354008878732,3678.556772142541,-672.0209411520268
89,2018-12-31 22:07:07,-566417.233473566,-168807.34165457467,-6844176.59317933,6630.918265622371,3679.6459560846806,-630.0720234689986
90,2018-12-31 22:07:12,-533254.1536554768,-150406.62321965492,-6847222.039227126,6634.2798784924225,3680.622669993585,-588.1031808280374
91,2018-12-31 22:07:17,-500074.77260789357,-132001.3024604879,-6850057.593899759,6637.438740013714,3681.4868805062083,-546.1156854932862
92,2018-12-31 22:07:22,-466880.1043436057,-113591.94197038857,-6852683.167115536,6640.394748776532,3682.2385576542533,-504.110810261986
93,2018-12-31 22:07:27,-433671.16336734814,-95179.10448404368,-6855098.675158016,6643.147809407788,3682.8776748558794,-462.0898284277266
94,2018-12-31 22:07:32,-400448.96464568004,-76763.35286060108,-6857304.040678392,6645.697832547538,3683.4042089071036,-420.05401375529425
