,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,-4502025.488074272,-2583934.891769187,4498380.531549662,-4425.811257631573,-2325.9800911344664,-5741.999757291446
1,2018-12-31 21:59:47,-4524085.324041954,-2595525.0681905486,4469601.434267898,-4398.100531331082,-2310.0786024278837,-5769.609643920414
2,2018-12-31 21:59:52,-4546006.268115421,-2607035.5594505398,4440684.7309341775,-4370.254641876897,-2294.1061080414192,-5797.042036496136
3,2018-12-31 21:59:57,-4567787.646611454,-2618466.0117444857,4411631.31113796,-4342.274443002636,-2278.0630978447807,-5824.296088238697
4,2018-12-31 22:00:02,-4589428.790126182,-2629816.0737227527,4382442.068689119,-4314.160792709823,-2261.950063982862,-5851.370957766248
5,2018-12-31 22:00:07,-4610929.033556358,-2641085.396502099,4353117.90159086,-4285.914553241093,-2245.7675008666874,-5878.265809137332
6,2018-12-31 22:00:12,-4632287.71612049,-2652273.6336769825,4323659.712012409,-4257.536591051053,-2229.5159051626415,-5904.979811893177
7,2018-12-31 22:00:17,-4653504.181379828,-2663380.441330803,4294068.406261488,-4229.027776774932,-2213.195775779846,-5931.512141099412
8,2018-12-31 22:00:22,-4674577.777259172,-2674405.4780470883,4264344.894756593,-4200.388985195216,-2196.807613855597,-5957.861977386716
9,2018-12-31 22:00:27,-4695507.856067539,-2685348.4049205836,4234490.091999074,-4171.621095206498,-2180.351922738824,-5984.028506989856
10,2018-12-31 22:00:32,-4716293.774518615,-2696208.885568272,4204504.916545023,-4142.724989778942,-2163.829207971624,-6010.010921784758
11,2018-12-31 22:00:37,-4736934.893751054,-2706986.586140287,4174390.2909769714,-4113.7015559207,-2147.2399772689582,-6035.808419323165
12,2018-12-31 22:00:42,-4757430.579348565,-2717681.175330728,4144147.1418754384,-4084.5516846397595,-2130.5847404966635,-6061.420202864684
13,2018-12-31 22:00:47,-4777780.201359811,-2728292.324388344,4113776.399790312,-4055.2762709056074,-2113.864009647981,-6086.845481405955
14,2018-12-31 22:00:52,-4797983.1343181385,-2738819.707127125,4083278.9992121016,-4025.8762136112427,-2097.078298818858,-6112.083469706929
15,2018-12-31 22:00:57,-4818038.757261075,-2749262.99993674,4052655.8785430547,-3996.352415535927,-2080.2281241822798,-6137.133388314198
16,2018-12-31 22:01:02,-4837946.4537496995,-2759621.8817928624,4021907.980068183,-3966.7057833091094,-2063.314003961953,-6161.994463581566
17,2018-12-31 22:01:07,-4857705.611887781,-2769896.034267354,3991036.249926166,-3936.937227375873,-2046.3364584056387,-6186.665927688012
18,2018-12-31 22:01:12,-4877315.624340786,-2780085.1415383243,3960041.638080197,-3907.0476619642186,-2029.2960097584794,-6211.147018653395
19,2018-12-31 22:01:17,-4896775.888354718,-2790188.890400041,3928925.0982887354,-3877.0380050544245,-2012.193182236591,-6235.436980352254
20,2018-12-31 22:01:22,-4916085.8057748,-2800206.9702727287,3897687.588076209,-3846.9091783505946,-1995.028502001241,-6259.535062526133
21,2018-12-31 22:01:27,-4935244.783064033,-2810139.0732122273,3866330.068703643,-3816.6621072544863,-1977.80249713386,-6283.440520794921
22,2018-12-31 22:01:32,-4954252.231321615,-2819984.893919538,3834853.5051392475,-3786.2977208415814,-1960.5156976121298,-6307.15261666773
23,2018-12-31 22:01:37,-4973107.566301264,-2829744.1297502406,3803258.8660289394,-3755.816951839255,-1943.168635287301,-6330.670617553787
24,2018-12-31 22:01:42,-4991810.208429423,-2839416.480723811,3771547.1236668155,-3725.220736606872,-1925.7618438629206,-6353.993796773818
25,2018-12-31 22:01:47,-5010359.582823371,-2849001.6495328303,3739719.2539655664,-3694.510015117495,-1908.2958588750237,-6377.121433572456
26,2018-12-31 22:01:52,-5028755.119309254,-2858499.341552105,3707776.23642682,-3663.685730940884,-1890.77121767384,-6400.052813132001
27,2018-12-31 22:01:57,-5046996.25244002,-2867909.2648476935,3675719.054111417,-3632.748831227373,-1873.188459406999,-6422.78722658791
28,2018-12-31 22:02:02,-5065082.421513295,-2877231.13018585,3643548.6936096027,-3601.700266692202,-1855.5481250041719,-6445.323971046255
29,2018-12-31 22:02:07,-5083013.07058915,-2886464.6510419073,3611266.145011124,-3570.5409915998366,-1837.8507571630378,-6467.662349603391
30,2018-12-31 22:02:12,-5100787.64850783,-2895609.543609075,3578872.4018752254,-3539.2719637478453,-1820.09690033643,-6489.801671367792
31,2018-12-31 22:02:17,-5118405.608907359,-2904665.5268071927,3546368.46120053,-3507.8941444498782,-1802.2871007204922,-6511.741251484184
32,2018-12-31 22:02:22,-5135866.4102410795,-2913632.322291416,3513755.32339479,-3476.4084985173613,-1784.421906243617,-6533.480411159783
33,2018-12-31 22:02:27,-5153169.515795098,-2922509.6544608492,3481033.992244509,-3444.815994239552,-1766.5018665559717,-6555.018477692436
34,2018-12-31 22:02:32,-5170314.393705617,-2931297.250467133,3448205.4748844155,-3413.1176033616584,-1748.5275330193601,-6576.354784500494
35,2018-12-31 22:02:37,-5187300.5169761535,-2939994.840222972,3415270.781766773,-3381.3143010608355,-1730.4994586972011,-6597.4886711539975
