,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,-5286189.403064405,-2849380.873023349,-3381948.4054806815,3196.464431850898,1905.28146717489,-6619.235775676084
1,2018-12-31 21:59:47,-5270126.733538306,-2839811.1632954217,-3414992.814912146,3228.58680763812,1922.59256677737,-6598.494567898962
2,2018-12-31 21:59:52,-5253903.701500334,-2830155.0463597467,-3447933.01741358,3260.60927614386,1939.8442639402301,-6577.553112667545
3,2018-12-31 21:59:57,-5237520.808891092,-2820412.8205219526,-3480768.013387765,3292.530876220288,1957.0360416062363,-6556.4120670015445
4,2018-12-31 22:00:02,-5220978.562448943,-2810584.786668195,-3513496.8065375565,3324.3506499171785,1974.1673846296505,-6535.072093910945
5,2018-12-31 22:00:07,-5204277.473693909,-2800671.2482555197,-3546118.4038958047,3356.067642530855,1991.2377798011116,-6513.53386237783
6,2018-12-31 22:00:12,-5187418.058911309,-2790672.51130213,-3578631.8158551552,3387.680902651938,2008.2467158710365,-6491.79804733451
7,2018-12-31 22:00:17,-5170400.839135177,-2780588.884377536,-3611036.056197735,3419.189482211857,2025.1936835719027,-6469.8653296388065
8,2018-12-31 22:00:22,-5153226.340131455,-2770420.6785925785,-3643330.142124724,3450.5924365281107,2042.0781756398374,-6447.7363960472985
9,2018-12-31 22:00:27,-5135895.092380918,-2760168.20758937,-3675513.094285769,3481.8888243481583,2058.8996868359795,-6425.411939186911
10,2018-12-31 22:00:32,-5118407.631061962,-2749831.7875311067,-3707583.9368082685,3513.0777078917004,2075.6577139681876,-6402.892657525588
11,2018-12-31 22:00:37,-5100764.496033105,-2739411.7370917816,-3739541.6973265023,3544.1581528912147,2092.351755913904,-6380.1792553426
12,2018-12-31 22:00:42,-5082966.231815348,-2728908.3774457774,-3771385.4070106065,3575.1292286308876,2108.9813136451958,-6357.27244269911
13,2018-12-31 22:00:47,-5065013.387574309,-2718322.032257316,-3803114.1005954305,3605.9900079846147,2125.5458902571713,-6334.17293540929
14,2018-12-31 22:00:52,-5046906.517102181,-2707653.0276697744,-3834726.8164092046,3636.7395674541062,2142.0449910008265,-6310.881455011516
15,2018-12-31 22:00:57,-5028646.178799499,-2696901.6922948044,-3866222.5964021054,3667.3769872085645,2158.4781233208582,-6287.398728738298
16,2018-12-31 22:01:02,-5010232.935656696,-2686068.357201264,-3897600.4861746375,3697.901351127136,2174.8447968979995,-6263.725489482754
17,2018-12-31 22:01:07,-4991667.355235441,-2675153.3559039216,-3928859.5350058423,3728.311746844879,2191.1445236942373,-6239.862475758747
18,2018-12-31 22:01:12,-4972950.009649729,-2664157.0243519405,-3959998.7958812807,3758.607265801963,2207.376817997891,-6215.810431651935
19,2018-12-31 22:01:17,-4954081.475546745,-2653079.7009171373,-3991017.3255207497,3788.787003294637,2223.5411964645673,-6191.570106759647
20,2018-12-31 22:01:22,-4935062.334087439,-2641921.726382066,-4021914.1844056654,3818.8500585253855,2239.6371781494927,-6167.1422561190375
21,2018-12-31 22:01:27,-4915893.170926891,-2630683.4439279567,-4052688.4368060576,3848.795534648922,2255.664284527117,-6142.527640124791
22,2018-12-31 22:01:32,-4896574.576194444,-2619365.199122611,-4083339.1508071413,3878.622538810423,2271.6220394949833,-6117.727024439741
23,2018-12-31 22:01:37,-4877107.144473677,-2607967.3399083093,-4113865.3983354215,3908.330182172882,2287.5099693606853,-6092.741179903322
