,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,-4502025.440667165,-2583934.7932085823,4498380.350826962,-4425.986328578599,-2325.9890527119123,-5741.738352119442
1,2018-12-31 21:59:47,-4524086.151994771,-2595525.014444244,4469602.560576045,-4398.275606375365,-2310.0875681993543,-5769.348235193815
2,2018-12-31 21:59:52,-4546007.9714790685,-2607035.5505639785,4440687.1643141,-4370.429733205858,-2294.1150878050385,-5796.780615001496
3,2018-12-31 21:59:57,-4567790.225498046,-2618466.0478122346,4411635.051675929,-4342.449562909006,-2278.072101450802,-5824.034645049773
4,2018-12-31 22:00:02,-4589432.244709552,-2629816.154888753,4382447.116515324,-4314.33595358819,-2261.959101331641,-5851.109484245205
5,2018-12-31 22:00:07,-4610933.364072558,-2641085.522959916,4353124.256877955,-4286.089767584428,-2245.7765819066462,-5878.0042969358765
6,2018-12-31 22:00:12,-4632292.922868275,-2652273.8056700397,4323667.374974061,-4257.711871447226,-2229.5250398882354,-5904.718252953648
7,2018-12-31 22:00:17,-4653510.26472112,-2663380.659152608,4294077.377150923,-4229.20313590323,-2213.2049742295176,-5931.250527655825
8,2018-12-31 22:00:22,-4674584.737619518,-2674405.7420414425,4264355.173865135,-4200.56443582282,-2196.81688610972,-5957.600301965739
9,2018-12-31 22:00:27,-4695515.693936526,-2685348.715481796,4234501.679654684,-4171.796650184982,-2180.361278917654,-5983.766762411748
10,2018-12-31 22:00:32,-4716302.490450298,-2696209.243141345,4204517.813110822,-4142.900662040764,-2163.8386582332323,-6009.749101164236
11,2018-12-31 22:00:37,-4736944.488364345,-2706986.9912211066,4174404.4968497693,-4113.877358475673,-2147.2495318071665,-6035.54651607024
12,2018-12-31 22:00:42,-4757441.053327604,-2717681.6284662285,4144162.657484256,-4084.727630571513,-2130.5944095389773,-6061.158210685428
13,2018-12-31 22:00:47,-4777791.555454343,-2728292.826176684,4113793.2255948973,-4055.4523733680685,-2113.8738034535218,-6086.583394303218
14,2018-12-31 22:00:52,-4797995.369343837,-2738820.2582178293,4083297.135701445,-4026.0524858250965,-2097.088227676288,-6111.821281980995
