,UTC,x,y,z,xv,yv,zv
0,2023-05-04 21:59:42,-2183935.415121334,84466.73528735313,-6512115.015968486,7178.267324320933,-704.6670797737712,-2426.2389134487426
1,2023-05-04 21:59:47,-2148010.8530455683,80942.12499533208,-6524146.250623806,7191.520772764034,-705.173440330078,-2386.242931335329
2,2023-05-04 21:59:52,-2112020.5750442385,77415.03686254489,-6535977.326126601,7204.553631102218,-705.6582138122932,-2346.1754561478265
3,2023-05-04 21:59:57,-2075965.6850139708,73885.57885784317,-6547607.888068888,7217.365522008926,-706.1213869358006,-2306.0377111906214
4,2023-05-04 22:00:02,-2039847.2887212862,70353.8590148777,-6559037.588164371,7229.956074858416,-706.5629470667648,-2265.830921819481
5,2023-05-04 22:00:07,-2003666.4937690003,66819.98542882627,-6570266.084258552,7242.324925765866,-706.9828822294254,-2225.5563153942826
6,2023-05-04 22:00:12,-1967424.4095624196,63284.06625308628,-6581293.040338636,7254.471717625566,-707.381181112742,-2185.2151212264453
7,2023-05-04 22:00:17,-1931122.1472753559,59746.20969593607,-6592118.126543154,7266.396100146411,-707.7578330762589,-2144.808570521435
8,2023-05-04 22:00:22,-1894760.8198159758,56206.5240171693,-6602741.019171255,7278.097729883858,-708.1128281550738,-2104.3378963168043
9,2023-05-04 22:00:27,-1858341.5417924903,52665.11752470673,-6613161.400691734,7289.5762702676275,-708.4461570638135,-2063.8043334164013
10,2023-05-04 22:00:32,-1821865.4294787284,49122.098571190836,-6623378.959751669,7300.831391624532,-708.7578111995541,-2023.209118321485
11,2023-05-04 22:00:37,-1785333.6007796056,45577.575550568676,-6633393.391184751,7311.862771195961,-709.0477826436246,-1982.5534891595732
12,2023-05-04 22:00:42,-1748747.175196517,42031.656894668304,-6643204.396019208,7322.670093149619,-709.3160641622902,-1941.8386856119512
13,2023-05-04 22:00:47,-1712107.2737926908,38484.45106977482,-6652811.681485417,7333.253048585352,-709.5626492063141,-1901.0659488407855
14,2023-05-04 22:00:52,-1675415.0191585247,34936.066573211145,-6662214.961023119,7343.611335534994,-709.7875319094317,-1860.2365214168337
15,2023-05-04 22:00:57,-1638671.5353769388,31386.611929929335,-6671413.954288276,7353.744658956372,-709.9907070858104,-1819.3516472487242
16,2023-05-04 22:01:02,-1601877.9479887711,27836.195689116445,-6680408.387159597,7363.652730721708,-710.1721702265689,-1778.412571514736
17,2023-05-04 22:01:07,-1565035.383958247,24284.926420820495,-6689197.991744723,7373.335269600919,-710.3319174954753,-1737.4205405979637
18,2023-05-04 22:01:12,-1528144.9716385424,20732.912712599205,-6697782.506386091,7382.792001240313,-710.4699457239541,-1696.3768020256325
19,2023-05-04 22:01:17,-1491207.8407374606,17180.263166195553,-6706161.67566652,7392.0226581374645,-710.5862524055422,-1655.2826044132387
20,2023-05-04 22:01:22,-1454225.1222832482,13627.08639424185,-6714335.250414523,7401.026979613002,-710.680835689962,-1614.1391974140404
21,2023-05-04 22:01:27,-1417197.948590553,10073.491016994061,-6722302.987709374,7409.804711780253,-710.7536943769725,-1572.9478316742698
22,2023-05-04 22:01:32,-1380127.453226542,6519.58565909723,-6730064.650885982,7418.35560751366,-710.8048279101671,-1531.7097587942824
23,2023-05-04 22:01:37,-1343014.7709771718,2965.478946381595,-6737620.00953957,7426.6794264169575,-710.8342363708934,-1490.4262312956798
24,2023-05-04 22:01:42,-1305861.0378136237,-588.7204973115967,-6744968.839530218,7434.775934792053,-710.8419204724454,-1449.098502594274
25,2023-05-04 22:01:47,-1268667.390858884,-4142.904053276148,-6752110.922987275,7442.644905609552,-710.8278815546879,-1407.7278269785902
26,2023-05-04 22:01:52,-1231434.9683544713,-7696.963111061358,-6759046.048313675,7450.286118481814,-710.7921215792395,-1366.3154595934584
27,2023-05-04 22:01:57,-1194164.90962729,-11250.789071570312,-6765774.010190196,7457.699359639291,-710.7346431253319,-1324.862656428083
28,2023-05-04 22:02:02,-1156858.3550565874,-14804.273350139058,-6772294.609579652,7464.884421910824,-710.6554493864351,-1283.3706743078762
29,2023-05-04 22:02:07,-1119516.4460410026,-18357.307379601076,-6778607.653731062,7471.841104708465,-710.5545441677158,-1241.8407708892282
30,2023-05-04 22:02:12,-1082140.3249656823,-21909.782613341315,-6784712.956183809,7478.569214017149,-710.4319318843661,-1200.2742046563155
31,2023-05-04 22:02:17,-1044731.1351694238,-25461.590528343884,-6790610.336771739,7485.068562389534,-710.2876175608128,-1158.6722349190213
