,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,-4502025.4410498645,-2583934.793027162,4498380.350807845,-4425.98615453935,-2325.9887760846927,-5741.738200056777
1,2018-12-31 21:59:47,-4524086.1515072705,-2595525.012879697,4469602.561317236,-4398.275432334896,-2310.0872915766113,-5769.3480831349025
2,2018-12-31 21:59:52,-4546007.970121359,-2607035.5476163384,4440687.165815551,-4370.429559162154,-2294.114811191045,-5796.780462958265
3,2018-12-31 21:59:57,-4567790.223270108,-2618466.043481555,4411635.053937533,-4342.449388859783,-2278.0718248496796,-5824.034493034253
4,2018-12-31 22:00:02,-4589432.241611345,-2629816.149175109,4382447.119536911,-4314.335779530882,-2261.9588247473544,-5851.10933226952
5,2018-12-31 22:00:07,-4610933.360104038,-2641085.5158634004,4353124.260659297,-4286.089593516196,-2245.776305343003,-5878.0041450122435
6,2018-12-31 22:00:12,-4632292.918029383,-2652273.7971907645,4323667.379514864,-4257.711697364951,-2229.5247633488875,-5904.7181010943805
7,2018-12-31 22:00:17,-4653510.259011775,-2663380.6492907037,4294077.382450835,-4229.202961803504,-2213.2046977179566,-5931.250375873314
8,2018-12-31 22:00:22,-4674584.731039622,-2674405.730797059,4264355.179923742,-4200.5642617019585,-2196.816609629283,-5957.60015027245
9,2018-12-31 22:00:27,-4695515.686485967,-2685348.702855093,4234501.686471507,-4171.79647603902,-2180.3610024715117,-5983.766610820221
10,2018-12-31 22:00:32,-4716302.482128936,-2696209.229132504,4204517.820685323,-4142.900487865442,-2163.838381824396,-6009.748949687082
11,2018-12-31 22:00:37,-4736944.479172022,-2706986.9758303203,4174404.505181344,-4113.8771842664455,-2147.2492554384885,-6035.546364720127
12,2018-12-31 22:00:42,-4757441.043264141,-2717681.611693705,4144162.666572238,-4084.7274563235483,-2130.5941332131433,-6061.158059475074
13,2018-12-31 22:00:47,-4777791.544519533,-2728292.8080226444,4113793.2354385545,-4055.4521990762437,-2113.873527173055,-6086.583243245399
14,2018-12-31 22:00:52,-4797995.3575374475,-2738820.2386825057,4083297.146299984,-4026.0523114839957,-2097.087951443547,-6111.8211310885345
15,2018-12-31 22:00:57,-4818051.861421655,-2749263.580114483,4052675.3375864625,-3996.5286963889944,-2080.2379222249065,-6136.870943849167
16,2018-12-31 22:01:02,-4837960.439799768,-2759622.5113459085,4021928.7516091987,-3966.882260480073,-2063.3239577660665,-6161.731908179748
17,2018-12-31 22:01:07,-4857720.480842391,-2769896.714000418,3991058.3345315764,-3937.113914258159,-2046.3465783379506,-6186.403256558416
18,2018-12-31 22:01:12,-4877331.377282087,-2780085.872308006,3960065.0363399936,-3907.2245720035617,-2029.306306206781,-6210.8842273046375
19,2018-12-31 22:01:17,-4896792.526432213,-2790189.6731149307,3928949.8108146186,-3877.215151745311,-2012.2036656076891,-6235.174064592969
20,2018-12-31 22:01:22,-4916103.330205578,-2800207.805893494,3897713.615500083,-3847.0865752327245,-1995.039182718889,-6259.272018465325
21,2018-12-31 22:01:27,-4935263.195132984,-2810139.962751693,3866357.4116761186,-3816.8397679092304,-1977.8133856366928,-6283.177344842285
22,2018-12-31 22:01:32,-4954271.532381638,-2819985.8384427517,3834882.164328131,-3786.4756588884293,-1960.526804351597,-6306.889305533909
23,2018-12-31 22:01:37,-4973127.757773441,-2829745.130374538,3803288.8421177324,-3755.99518093227,-1943.1799707256139,-6330.407168250577
24,2018-12-31 22:01:42,-4991831.291803186,-2839417.5386188584,3771578.4173532096,-3725.3992704311327,-1925.7734184709875,-6353.730206614355
25,2018-12-31 22:01:47,-5010381.559656646,-2849002.7659206707,3739751.8659599302,-3694.6888673855515,-1908.3076831303974,-6376.857700171334
26,2018-12-31 22:01:52,-5028777.991228589,-2858500.517707178,3707810.1674506986,-3663.8649153891947,-1890.7833020586675,-6399.7889344053365
27,2018-12-31 22:01:57,-5047020.021140708,-2867910.5020968565,3675754.3048960185,-3632.928361612751,-1873.2008144059682,-6422.5232007533805
28,2018-12-31 22:02:02,-5065107.088759442,-2877232.4299083883,3643585.264894294,-3601.8801567882506,-1855.5607611024652,-6445.059796623082
29,2018-12-31 22:02:07,-5083038.638213776,-2886466.014669525,3611304.0375419226,-3570.721255193387,-1837.8636848442848,-6467.398025412247
30,2018-12-31 22:02:12,-5100814.118412908,-2895610.972625892,3578911.616403292,-3539.452614635391,-1820.1101300806665,-6489.537196530717
31,2018-12-31 22:02:17,-5118432.983063863,-2904667.0227497118,3546408.998480661,-3508.0751964340075,-1802.3006430021119,-6511.476625424396
32,2018-12-31 22:02:22,-5135894.690689007,-2913633.886748493,3513797.1841839133,-3476.58996540319,-1784.4357715293356,-6533.215633601448
33,2018-12-31 22:02:27,-5153198.7046434665,-2922511.2890736535,3481077.177300183,-3444.997889831155,-1766.5160653027865,-6554.753548660423
34,2018-12-31 22:02:32,-5170344.493132458,-2931298.956929087,3448249.9849633165,-3413.299941458504,-1748.5420756725093,-6576.089704320037
35,2018-12-31 22:02:37,-5187331.529228479,-2939996.620279694,3415316.617623208,-3381.497095454217,-1730.5143556881296,-6597.22344045031
36,2018-12-31 22:02:42,-5204159.29088838,-2948604.01185985,3382278.0890149525,-3349.5903303893683,-1712.4334600887182,-6618.1541031046845
37,2018-12-31 22:02:47,-5220827.260970326,-2957120.8671818273,3349135.4161278526,-3317.580628208527,-1694.2999452923316,-6638.881044552673
38,2018-12-31 22:02:52,-5237334.927250567,-2965546.924544163,3315889.6191742546,-3285.468974198884,-1676.1143693850508,-6659.403623312654
39,2018-12-31 22:02:57,-5253681.782440079,-2973881.9250399717,3282541.7215582235,-3253.2563569572326,-1657.8772921093398,-6679.721204184393
40,2018-12-31 22:03:02,-5269867.324201025,-2982125.612565195,3249092.749844056,-3220.943768355008,-1639.5892748515907,-6699.8331582808405
41,2018-12-31 22:03:07,-5285891.055163032,-2990277.73382679,3215543.733724633,-3188.532203501645,-1621.2508806287788,-6719.738863058908
42,2018-12-31 22:03:12,-5301752.482939296,-2998338.0383508415,3181895.7059896355,-3156.022660706609,-1602.862674074127,-6739.437702348879
43,2018-12-31 22:03:17,-5317451.120142475,-3006306.278490613,3148149.702493596,-3123.416141440439,-1584.4252214217781,-6758.929066382197
44,2018-12-31 22:03:22,-5332986.484400398,-3014182.2094345074,3114306.7621238353,-3090.7136502952353,-1565.939090490462,-6778.21235181747
45,2018-12-31 22:03:27,-5348358.098371581,-3021965.589213944,3080367.926768262,-3057.916194944961,-1547.4048506661932,-6797.286961764608
46,2018-12-31 22:03:32,-5363565.489760534,-3029656.1787111536,3046334.2412830577,-3025.024786105979,-1528.8230728840635,-6816.152305807066
47,2018-12-31 22:03:37,-5378608.191332863,-3037253.741666879,3012206.7534602643,-2992.0404374981867,-1510.194329609213,-6834.807800022255
48,2018-12-31 22:03:42,-5393485.740930214,-3044758.044687968,2977986.51399526,-2958.96416580707,-1491.5191948170784,-6853.252867000273
49,2018-12-31 22:03:47,-5408197.68148499,-3052168.8572548814,2943674.576454154,-2925.796990646963,-1472.7982439730424,-6871.486935861169
50,2018-12-31 22:03:52,-5422743.5610349225,-3059485.9517290895,2909271.997241098,-2892.539934525701,-1454.0320540116109,-6889.509442271018
51,2018-12-31 22:03:57,-5437122.932737436,-3066709.1033603605,2874779.835565516,-2859.194022810812,-1435.221203315237,-6907.319828457062
52,2018-12-31 22:04:02,-5451335.354883876,-3073838.0902939537,2840199.1534092617,-2825.76028369727,-1416.3662716929352,-6924.917543222372
53,2018-12-31 22:04:07,-5465380.390913576,-3080872.693577693,2805531.0154937054,-2792.2397481767925,-1397.4678403587984,-6942.3020419602335
54,2018-12-31 22:04:12,-5479257.609427745,-3087812.697168943,2770776.489246743,-2758.63345000855,-1378.5264919105393,-6959.472786668751
55,2018-12-31 22:04:17,-5492966.584203262,-3094657.887941467,2735936.644769738,-2724.942425691092,-1359.5428103081438,-6976.429245965903
56,2018-12-31 22:04:22,-5506506.894206276,-3101408.0556921954,2701012.5548043833,-2691.167714435205,-1340.5173808527445,-6993.170895105364
57,2018-12-31 22:04:27,-5519878.12360573,-3108062.9931478705,2666005.2946994742,-2657.3103581374107,-1321.4507901657646,-7009.697215993359
58,2018-12-31 22:04:32,-5533079.861786694,-3114622.4959715977,2630915.942377611,-2623.371401353687,-1302.3436261684003,-7026.007697206695
59,2018-12-31 22:04:37,-5546111.703363627,-3121086.3627693006,2595745.578301793,-2589.35189127307,-1283.1964780614721,-7042.1018340120945
60,2018-12-31 22:04:42,-5558973.248193446,-3127454.395096062,2560495.2854419155,-2555.2528776906684,-1264.0099363056715,-7057.979128386871
61,2018-12-31 22:04:47,-5571664.101388509,-3133726.3974623773,2525166.149241167,-2521.0754129797524,-1244.78459260221,-7073.639089040863
62,2018-12-31 22:04:52,-5584183.873329425,-3139902.1773403096,2489759.2575823083,-2486.820552062478,-1225.5210398738643,-7089.081231439566
63,2018-12-31 22:04:57,-5596532.179677722,-3145981.5451695514,2454275.7007538336,-2452.489352378973,-1206.2198722464068,-7104.305077828173
64,2018-12-31 22:05:02,-5608708.6413883455,-3151964.3143633953,2418716.5714160074,-2418.0828738544687,-1186.881685030394,-7119.310157256348
65,2018-12-31 22:05:07,-5620712.8847220205,-3157850.301314607,2383082.9645667854,-2383.6021788642956,-1167.507074703293,-7134.096005603348
66,2018-12-31 22:05:12,-5632544.541257393,-3163639.3254012247,2347375.9775076015,-2349.048332196603,-1148.0966388919028,-7148.662165603181
67,2018-12-31 22:05:17,-5644203.247902997,-3169331.208992255,2311596.709809027,-2314.4224010127887,-1128.6509763550466,-7163.008186869361
68,2018-12-31 22:05:22,-5655688.646909023,-3174925.7774532954,2275746.2632763204,-2279.725454805671,-1109.1706869664956,-7177.133625918914
69,2018-12-31 22:05:27,-5667000.385878857,-3180422.8591520605,2239825.741914846,-2244.958565355566,-1089.6563716980954,-7191.038046195225
70,2018-12-31 22:05:32,-5678138.117780422,-3185822.2854638374,2203836.2518953923,-2210.122806684512,-1070.108632603055,-7204.721018089351
71,2018-12-31 22:05:37,-5689101.500957243,-3191123.890776851,2167778.9015193805,-2175.2192550089258,-1050.528072799383,-7218.182118959483
72,2018-12-31 22:05:42,-5699890.199139324,-3196327.512497538,2131654.801183988,-2140.2489886911126,-1030.9152964534278,-7231.420933148316
73,2018-12-31 22:05:47,-5710503.881453735,-3201432.991055756,2095465.063347185,-2105.2130881900353,-1011.2709087634961,-7244.437051998075
74,2018-12-31 22:05:52,-5720942.2224349845,-3206440.1699099005,2059210.8024927056,-2070.112636011848,-991.5955159435385,-7257.230073863116
75,2018-12-31 22:05:57,-5731204.902035124,-3211348.895551942,2022893.1350949586,-2034.9487166606602,-971.8897252068449,-7269.7996041200495
76,2018-12-31 22:06:02,-5741291.605633617,-3216159.017512381,1986513.1795838985,-1999.7224165900636,-952.1541447497416,-7282.145255175414
77,2018-12-31 22:06:07,-5751202.024046981,-3220870.388365125,1950072.0563098616,-1964.4348241558778,-932.3893837352471,-7294.2666464710555
78,2018-12-31 22:06:12,-5760935.853538159,-3225482.8637322746,1913570.887508378,-1929.0870295705733,-912.5960522766452,-7306.16340448742
79,2018-12-31 22:06:17,-5770492.795825713,-3229996.302288845,1877010.7972649764,-1893.6801248597585,-892.7747614209356,-7317.83516274504
80,2018-12-31 22:06:22,-5779872.558092781,-3234410.565767379,1840392.911479982,-1858.2152038210565,-872.926123132115,-7329.281561804571
81,2018-12-31 22:06:27,-5789074.852995835,-3238725.5189625025,1803718.3578333189,-1822.6933619856027,-853.0507502742308,-7340.502249265764
82,2018-12-31 22:06:32,-5798099.398673264,-3242941.029735369,1766988.2657493171,-1787.1156965823277,-833.1492565941548,-7351.4968797658485
83,2018-12-31 22:06:37,-5806945.918753778,-3247056.9690180463,1730203.7663615316,-1751.4833065050518,-813.2222567040216,-7362.2651149777175
84,2018-12-31 22:06:42,-5815614.142364651,-3251073.21081778,1693365.9924775655,-1715.7972922823683,-793.2703660632673,-7372.806623608436
85,2018-12-31 22:06:47,-5824103.804139829,-3254989.6322211972,1656476.0785439059,-1680.0587560501376,-773.2942009602158,-7383.121081398417
86,2018-12-31 22:06:52,-5832414.644227914,-3258806.113398398,1619535.1606107508,-1644.2688015263748,-753.294378493161,-7393.208171121774
87,2018-12-31 22:06:57,-5840546.408299985,-3262522.5376069597,1582544.3762968406,-1608.4285339881842,-733.2715165509068,-7403.067582588076
88,2018-12-31 22:07:02,-5848498.847557377,-3266138.7911958382,1545504.8647542754,-1572.5390602503503,-713.2262337927224,-7412.699012645881
89,2018-12-31 22:07:07,-5856271.718739293,-3269654.763609169,1508417.7666332999,-1536.6014886451303,-693.1591496277115,-7422.102165188207
90,2018-12-31 22:07:12,-5863864.784130353,-3273070.347389962,1471284.2240470701,-1500.6169290027447,-673.0708841935833,-7431.27675116005
91,2018-12-31 22:07:17,-5871277.811568026,-3276385.4381836923,1434105.380536365,-1464.5864926320628,-652.9620583348516,-7440.222488568015
92,2018-12-31 22:07:22,-5878510.574449991,-3279599.934741781,1396882.3810342564,-1428.5112923009483,-632.8332935805029,-7448.939102492006
93,2018-12-31 22:07:27,-5885562.851741367,-3282713.738924953,1359616.3718307018,-1392.3924422157897,-612.6852121211996,-7457.426325098782
94,2018-12-31 22:07:32,-5892434.4279818535,-3285726.7557065,1322308.500537078,-1356.231057999735,-592.5184367861028,-7465.683895657227
95,2018-12-31 22:07:37,-5899125.093292764,-3288638.8931753957,1284959.9160506271,-1320.0282566692429,-572.3335910194254,-7473.71156055501
96,2018-12-31 22:07:42,-5905634.643383921,-3291450.0625393353,1247571.76851882,-1283.7851566086053,-552.1312988568445,-7481.509073316274
97,2018-12-31 22:07:47,-5911962.879560435,-3294160.178127614,1210145.2093036247,-1247.502877542195,-531.9121849019192,-7489.076194620055
98,2018-12-31 22:07:52,-5918109.608729321,-3296769.1573939184,1172681.3909456935,-1211.182540504278,-511.6768743026709,-7496.412692318899
99,2018-12-31 22:07:57,-5924074.643405975,-3299276.920918988,1135181.4671284372,-1174.8252678063195,-491.42599272849327,-7503.518341457382
100,2018-12-31 22:08:02,-5929857.801720473,-3301683.3924131654,1097646.5926420304,-1138.4321830018314,-471.16016634755636,-7510.392924290078
101,2018-12-31 22:08:07,-5935458.907423682,-3303988.498718835,1060077.9233473127,-1102.0044108488655,-450.88002180487064,-7517.036230298622
102,2018-12-31 22:08:12,-5940877.789893189,-3306192.169812755,1022476.6161396138,-1065.543077270391,-430.58618620115686,-7523.4480562075405
103,2018-12-31 22:08:17,-5946114.284139026,-3308294.3388082823,984843.8289125044,-1029.0493093128305,-410.2792870726528,-7529.628205998619
104,2018-12-31 22:08:22,-5951168.230809174,-3310294.9419575054,947180.7205214755,-992.5242351031187,-389.95995237196075,-7535.576490923592
105,2018-12-31 22:08:27,-5956039.476194855,-3312193.918653278,909488.4507475627,-955.9689838046851,-369.6288104500059,-7541.292729515061
106,2018-12-31 22:08:32,-5960727.872235612,-3313991.2114311717,871768.1802609153,-919.3846855727936,-349.2864900391333,-7546.776747595645
107,2018-12-31 22:08:37,-5965233.276524147,-3315686.7659713323,834021.0705843298,-882.7724715096806,-328.9336202373327,-7552.02837828539
108,2018-12-31 22:08:42,-5969555.55231095,-3317280.531100288,796248.2840567465,-846.1334736199339,-308.5708304935293,-7557.047462007628
109,2018-12-31 22:08:47,-5973694.568508696,-3318772.458792657,758450.9837967206,-809.4688247665102,-288.1987505938265,-7561.833846493497
110,2018-12-31 22:08:52,-5977650.19969643,-3320162.5041728015,720630.3336658747,-772.7796586277576,-267.81801064854386,-7566.387386785385
