TCA,DCA
2023-05-05 09:59:42.021800,8.670890203919289
2023-05-05 09:59:42.023200,9.273323482923308
2023-05-05 09:59:42.021,8.628635277670664
2023-05-05 09:59:42.022400,8.858732186556582
2023-05-05 09:59:42.027200,11.060577724591631
2023-05-05 09:59:42.014400,5.954639164713496
2023-05-05 09:59:42.024200,9.841030474523093
2023-05-05 09:59:42.018500,7.680525982955926
2023-05-05 09:59:42.020700,8.356798392544752
2023-05-05 09:59:42.022600,9.225460562178077
2023-05-05 09:59:42.016,6.609717827457798
2023-05-05 09:59:42.016100,6.60912488044047
2023-05-05 09:59:42.016400,6.701593161199142
2023-05-05 09:59:42.021200,9.099040730976048
2023-05-05 09:59:42.017300,7.097056284990128
2023-05-05 09:59:42.019300,8.227251706360471
2023-05-05 09:59:42.019500,7.809784366174745
2023-05-05 09:59:42.017600,7.247703661583246
2023-05-05 09:59:42.016900,6.851238907592232
2023-05-05 09:59:42.016,6.407282633011244
2023-05-05 09:59:42.018300,7.433985166292066
2023-05-05 09:59:42.018400,7.348761019018409
2023-05-05 09:59:42.016200,6.697676384862066
2023-05-05 09:59:42.020100,8.050739236720272
2023-05-05 09:59:42.021200,8.627443052872287
2023-05-05 09:59:42.015800,6.303828441353469
2023-05-05 09:59:42.016300,6.459887542203925
2023-05-05 09:59:42.025500,10.094809711337648
2023-05-05 09:59:42.020100,8.248422282633058
2023-05-05 09:59:42.019600,7.78716132990161
2023-05-05 09:59:42.020200,8.14102893157787
2023-05-05 09:59:42.020500,8.235041128385072
2023-05-05 09:59:42.026500,10.862703066377742
2023-05-05 09:59:42.017500,7.183786770230712
2023-05-05 09:59:42.018800,7.676012007448778
2023-05-05 09:59:42.020,8.041912405292408
2023-05-05 09:59:42.020,7.965493881964525
2023-05-05 09:59:42.016,6.645177079470548
2023-05-05 09:59:42.021100,8.547897589260783
2023-05-05 09:59:42.021900,8.834037468352525
2023-05-05 09:59:42.014600,6.2077164218466425
2023-05-05 09:59:42.018700,7.619137129019356
2023-05-05 09:59:42.021,8.687125275236149
2023-05-05 09:59:42.022300,9.17431179502
2023-05-05 09:59:42.019400,7.831452795924443
2023-05-05 09:59:42.020800,8.418205235636622
2023-05-05 09:59:42.022800,9.457592034988878
