MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
60069.315416666665,-1811778.3459178156,655928.3074950192,-6620097.51884641,-4835.508658755651,5545.597113417611,1873.6620299860733,-73.89220911892743,-176.2333791325464,13246867.532814214,28823200.367929067,57811622.47640372,47375.29525114553,47284.48307833801,856.8561631888151,856.8561631888151
60069.31576388889,-1955830.8031248464,821908.9037223726,-6560283.4900987735,-4767.115610130605,5518.771263518931,2113.582003360401,-72.19748120979423,-179.25334117170874,13247197.388283528,28824728.192161094,57811832.88226065,46050.255546706685,45963.1710804267,860.7497860044241,860.7497860044241
60069.31611111111,-2097753.2786986395,986994.4452381409,-6493305.360863468,-4693.522329934929,5485.931887289516,2351.2257987210314,-70.46734071678983,178.21960336869998,13247563.164258113,28826431.64507454,57812067.88837662,44579.7093996314,44497.43947811296,858.034590844065,858.034590844065
60069.316458333335,-2237390.914711911,1151005.0151897243,-6419235.27333922,-4614.80643240261,5447.112543243582,2586.336608289743,-68.71040509349461,176.07202646325882,13247962.946599387,28828305.25934287,57812328.88251992,42970.05008060758,42892.96012394088,849.8938199840486,849.8938199840486
60069.31680555556,-2374591.2660050383,1313761.7946109348,-6338153.039353521,-4531.050922288818,5402.3531140649575,2818.6600349964733,-66.93278171918912,174.22112962493048,13248394.641314212,28830343.011154003,57812617.391612455,41228.27660387265,41156.2740426823,837.3371826447546,837.3371826447546
60069.31715277778,-2509204.4549771273,1475087.260445711,-6250146.064021232,-4442.344111633616,5351.699762575492,3047.944280993969,-65.13889351925746,172.60560910595092,13248855.983587202,28832537.947480146,57812935.08038935,39361.96355658289,39294.708248930234,821.655427146703,821.655427146703
60069.3175,-2641083.334781133,1634805.3633195036,-6155309.2653836,-4348.7796613892615,5295.204926309358,3273.9403556518546,-63.332008449225825,171.1793899543055,13249344.550605524,28834882.60364479,57813283.72395808,37379.22840126142,37316.303229940306,804.0478502288461,804.0478502288461
60069.31784722222,-2770083.6475337325,1792741.726103231,-6053744.984059135,-4250.456630855747,5232.9273209037965,3496.4024159682695,-61.514585786984874,169.9073264318751,13249857.776176658,28837369.88551786,57813665.170777604,35288.6963563087,35229.789496947764,784.7265296690166,784.7265296690166
60069.318194444444,-2896064.1886368482,1948723.8223284166,-5945562.883880128,-4147.479384559064,5164.9318793078,3715.088200263498,-59.68850735953167,168.76222825459038,13250392.964387618,28839993.449484758,57814081.31849973,33099.463129416225,33044.51412170103,762.5856601446867,762.5856601446867
60069.31854166667,-3018886.9604002135,2102581.1686656433,-5830879.839553574,-4039.95734382936,5091.289619482676,3929.7593587266365,-57.855235040061274,167.72277893653077,13250947.300228123,28842746.97345621,57814534.11972528,30821.055634196025,30770.28712986606,736.0899060741067,736.0899060741067
