MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
60069.330347222225,6838193.638255064,-629500.4490077185,384076.1524046433,-418.2598090659143,174.8935561625517,7596.313576301649,3.329287304529112,13.176575337336127,13249527.01060154,28954754.48668589,57954309.06770775,-26705.550968203643,-26687.68609312746,11.766232959926128,11.766232959926128
60069.33069444444,6821873.250852148,-623907.149905418,611710.8929477779,-669.6689038510834,197.95907334811972,7577.935205924704,5.230869866990457,13.084853961736073,13249184.455524575,28956373.110349525,57956313.81365244,-26308.525523679433,-26277.55661958846,-12.240959521383047,-12.240959521383047
60069.331041666665,6798020.729072957,-617625.0733151033,838668.3415260018,-920.3555428779961,220.80771149912488,7551.164826515676,7.13257083081785,12.993339287030981,13248779.894612655,28957950.303985626,57958454.360600874,-25736.247713617333,-25691.629175456383,-34.81509131938219,-34.81509131938219
60069.33138888889,6766661.936492016,-610661.1104237589,1064697.1464933506,-1170.040423114703,243.41402464286745,7516.0311846620225,9.034392500621689,12.902108768102208,13248314.311158534,28959484.873963643,57960727.83002076,-24991.14391315866,-24932.674644021743,-54.87018088251352,-54.87018088251352
60069.33173611111,6727831.101838345,-603022.9073768333,1289546.9614309862,-1418.4454859980654,265.75284795494235,7472.572720970241,10.936337026462857,12.811242488553397,13247788.934652504,28960977.621566515,57963130.91221192,-24076.39614966541,-24004.27536870319,-72.93486792221665,-72.93486792221665
60069.332083333335,6681570.770984642,-594718.862823587,1512968.7372559765,-1665.2942827591535,287.79931685655663,7420.837328185706,12.83840647326136,12.720823874433057,13247205.229007747,28962430.073183887,57965659.93819043,-22995.929253951996,-22910.7626728936,-89.87320258840919,-89.87320258840919
60069.33243055556,6627931.753982202,-585758.1170589931,1734715.0013408782,-1910.3122645924298,309.52888011052056,7360.88224874406,14.74060280111442,12.63094054093841,13246564.88308918,28963844.277875077,57968310.92572095,-21754.39479436632,-21657.163907640344,-106.68912851065397,-106.68912851065397
60069.33277777778,6566973.066529846,-576150.5410749802,1954540.1366458435,-2153.2271084116596,330.91734228575444,7292.773904701513,16.64292785909728,12.541685221104968,13245869.804772954,28965222.24645983,57971079.58916349,-20357.15181671832,-20249.164760471813,-123.99341789633036,-123.99341789633036
60069.333125,6498761.858579185,-565906.7254143165,2172200.6548795938,-2393.768871935405,351.94091219351327,7216.587725481205,18.54538335856721,12.453156793275289,13245122.11004779,28966565.108744245,57973961.38483325,-18810.244565521967,-18693.08384115864,-141.14095186442137,-141.14095186442137
60069.33347222222,6423373.3405065,-555037.9691418818,2387455.4636658644,-2631.6701864777556,372.5762161591161,7132.408169906128,20.447970806611124,12.365461437767046,13244324.116421752,28967873.6546935,57976951.513962336,-17120.377207783527,-16995.8508942963,-156.79071889445186,-156.79071889445186
