MJD,EDR,rho_eff,jb08_rho
60025.91645833333,-0.0,-0.0,1.73241376688484e-12
60025.91680555556,-9.967729162424803,-2.1025744045251434e-14,1.7074002030232263e-12
60025.91715277778,-16.28461167216301,-3.435720188221265e-14,1.6811329176055064e-12
60025.9175,-17.906003069132566,-3.77856042908999e-14,1.6537486105347557e-12
60025.91784722222,-14.353029243648052,-3.029425892625636e-14,1.6253842962327082e-12
60025.91819444444,-5.777516700327396,-1.219686806318073e-14,1.5961763069591224e-12
60025.918541666666,7.188575938344002,1.517893267294232e-14,1.5662592021372741e-12
60025.91888888889,23.96805415675044,5.0620087217428386e-14,1.5357647601120498e-12
60025.91923611111,43.90333679318428,9.274264076176809e-14,1.504821178126086e-12
60025.919583333336,65.8150951936841,1.390589415895194e-13,1.4735521797663635e-12
60025.91993055555,87.94914320856333,1.8586419835972735e-13,1.4420764802752487e-12
60025.920277777775,108.2998439334333,2.2891883223599897e-13,1.4105070154716798e-12
60025.920625,125.15619331598282,2.646025524426201e-13,1.378950520569304e-12
60025.92097222222,138.13603794202209,2.921021174167234e-13,1.3475070460674316e-12
60025.921319444446,147.8201174288988,3.126402736826856e-13,1.3162697907485455e-12
60025.92166666667,154.16818568110466,3.261272391817023e-13,1.2853250236658319e-12
60025.92201388889,155.86255069449544,3.297705899774648e-13,1.254752069775876e-12
60025.92236111111,151.44047167897224,3.204693264564469e-13,1.2246232665247587e-12
60025.92270833333,141.4550750553608,2.9938747205100055e-13,1.195003963865504e-12
60025.923055555555,127.87048567086458,2.706773165110357e-13,1.165952661648688e-12
60025.92340277778,112.72495962306857,2.3865122737932546e-13,1.1375213897980606e-12
60025.92375,99.50385143980384,2.1068848768775003e-13,1.1097560449428823e-12
60025.924097222225,91.94413228705525,1.9470508581926414e-13,1.0826969440912712e-12
60025.92444444444,91.05878111720085,1.9285116328539923e-13,1.0563795742959608e-12
60025.924791666665,95.62002100795507,2.0253075927195397e-13,1.030835432982907e-12
60025.92513888889,104.62974749878049,2.2163249647555155e-13,1.0060928729455526e-12
60025.92548611111,117.95719378814101,2.4988086975200096e-13,9.821787433084993e-13
60025.925833333335,135.67810079082847,2.874370294661701e-13,9.591198533276422e-13
60025.92618055556,157.96459864079952,3.346655919036561e-13,9.369380623032764e-13
60025.92652777778,186.8667762428522,3.959091919713779e-13,9.155628748125879e-13
60025.926875,224.64232072234154,4.759497085085004e-13,8.931306037639038e-13
60025.92722222222,-18.162154629826546,-3.848013781085242e-14,8.313045646448335e-13
