created:2024-01-15 23:38:24 UTC
ephemeris_start:2024-01-15 23:08:42 UTC ephemeris_stop:2024-01-18 23:08:42 UTC step_size:60
ephemeris_source:blend
UVW
2024015230842.000 -3999.5521163449 -5588.5186849427 938.3036953648 4.9635713197 -2.6961385721 5.0618800763
4.7184833307e-07 -3.9156297715e-07 7.8094636887e-07 -1.6548933749e-10 -3.0831782571e-12 1.2711124818e-06 8.1817702225e-10
-9.0754079390e-10 5.6732457171e-14 1.9235582327e-12 -4.6812503465e-10 4.1093841325e-10 -2.3420154649e-13 -8.2158887325e-13
5.0062336505e-13 -5.5110944208e-13 1.9816243354e-13 1.7098948303e-09 -1.2963175181e-16 1.7420159233e-17 5.4193438161e-12
2024015230942.000 -3693.3435439276 -5738.1432574118 1239.7729702470 5.2397177489 -2.2895544598 4.9834762066
5.2011385563e-07 -4.5750346087e-07 8.8988740447e-07 -2.0010576111e-10 -1.3134717114e-11 1.4897546401e-06 9.1458307608e-10
-1.0482782053e-09 1.1153886345e-13 2.1315511941e-12 -5.1735017068e-10 4.7884169873e-10 -4.0913358664e-13 -9.2029652265e-13
5.5084969811e-13 -4.4817242800e-13 7.2967453690e-14 1.9291744352e-09 1.0954470142e-16 -3.3252154564e-16 5.1864873785e-12
2024015231042.000 -3371.2370238718 -5863.0678816834 1535.8905370237 5.4933152950 -1.8731047003 4.8835595047
5.7121413234e-07 -5.3100356827e-07 1.0165898591e-06 -2.2883962955e-10 -4.9095457003e-11 1.7328540065e-06 1.0179002605e-09
-1.2069889987e-09 2.1742371605e-13 2.3547490108e-12 -5.6952147976e-10 5.5451444871e-10 -6.4130537032e-13 -1.0262159742e-12
6.0414135276e-13 -3.1538855399e-13 -1.2138667358e-13 2.1169605061e-09 4.4345648171e-16 -7.3473366288e-16 4.9243268424e-12
2024015231142.000 -3034.6187415526 -5962.7544691375 1825.3783881388 5.7232671694 -1.4485892387 4.7625631819
6.2496182163e-07 -6.1230387596e-07 1.1630129968e-06 -2.4900768503e-10 -1.2044440363e-10 1.9964345389e-06 1.1280383106e-09
-1.3851327661e-09 3.8832040347e-13 2.5941581934e-12 -6.2444852841e-10 6.3820813885e-10 -9.3516163498e-13 -1.1392522636e-12
6.6030917634e-13 -1.5067355995e-13 -3.9228356207e-13 2.2700223996e-09 8.7756068572e-16 -1.1793186618e-15 4.6376297949e-12
2024015231242.000 -2684.9378369922 -6036.7739511468 2106.9869521658 5.9285790243 -1.0178428884 4.6210114300
6.8113138281e-07 -7.0157972322e-07 1.3311671284e-06 -2.5805890776e-10 -2.3753968635e-10 2.2761641492e-06 1.2448634169e-09
-1.5841699671e-09 6.3955843414e-13 2.8507769261e-12 -6.8189763918e-10 7.3009411498e-10 -1.2937529198e-12 -1.2592451390e-12
7.1911087619e-13 4.8479285446e-14 -7.4596319501e-13 2.3857254763e-09 1.4152168075e-15 -1.6554943771e-15 4.3315915984e-12
2024015231342.000 -2323.6998851601 -6084.8082494629 2379.5008718596 6.1083634877 -0.5827288943 4.4595181549
7.3945920037e-07 -7.9892821570e-07 1.5230968673e-06 -2.5312753663e-10 -4.1096121435e-10 2.5674337895e-06 1.3681847694e-09
-1.8055490873e-09 9.8597598100e-13 3.1255782031e-12 -7.4159561625e-10 8.3026403920e-10 -1.7179769019e-12 -1.3859794544e-12
7.8026448923e-13 2.8367532309e-13 -1.1866912169e-12 2.4620806702e-09 2.0556394730e-15 -2.1519297596e-15 4.0117397724e-12
2024015231442.000 -1952.4603061782 -6106.6516893208 2641.7442802584 6.2618465612 -0.1451284530 4.2787850042
7.9964799873e-07 -9.0436190594e-07 1.7408598817e-06 -2.3119294032e-10 -6.5115631644e-10 2.8654361734e-06 1.4977536132e-09
-2.0506938684e-09 1.4414771227e-12 3.4195041645e-12 -8.0323405717e-10 9.3872080579e-10 -2.2065879907e-12 -1.5191798996e-12
8.4345117340e-13 5.5566398537e-13 -1.7165943642e-12 2.4977778375e-09 2.7941485960e-15 -2.6568130759e-15 3.6838389152e-12
2024015231542.000 -1572.8175807853 -6102.2117288379 2892.5859109873 6.3883686132 0.2930688742 4.0795964212
8.6137128311e-07 -1.0178027364e-06 1.9865043338e-06 -1.8910999829e-10 -9.6796806782e-10 3.1652487074e-06 1.6332611600e-09
-2.3209896252e-09 2.0184842090e-12 3.7334582835e-12 -8.6647419078e-10 1.0553724049e-09 -2.7561111637e-12 -1.6585089971e-12
9.0832047424e-13 8.6422812056e-13 -2.3353894044e-12 2.4922080975e-09 3.6222794197e-15 -3.1580034583e-15 3.3537906393e-12
2024015231642.000 -1186.4062248145 -6071.5093264939 3130.9439935735 6.4873872018 0.7299713227 3.8628174339
9.2427831030e-07 -1.1390773025e-06 2.2620449310e-06 -1.2369612152e-10 -1.3702444095e-09 3.4619183742e-06 1.7743373388e-09
-2.6177690440e-09 2.7273342220e-12 4.0682974799e-12 -9.3095219952e-10 1.1800271219e-09 -3.3609763119e-12 -1.8035658817e-12
9.7449602656e-13 1.2080500560e-12 -3.0403109405e-12 2.4454739727e-09 4.5279288601e-15 -3.6434839256e-15 3.0275312843e-12
2024015231742.000 -794.8897030675 -6014.6787556197 3355.7909699135 6.5584805784 1.1636949709 3.6293890675
9.8799946325e-07 -1.2679135230e-06 2.5694379850e-06 -3.1866333236e-11 -1.8655147134e-09 3.7505470923e-06 1.9205503545e-09
-2.9422976667e-09 3.5756668061e-12 4.4248241482e-12 -9.9628494993e-10 1.3123902381e-09 -4.0137567722e-12 -1.9538859420e-12
1.0415816697e-12 1.5845793737e-12 -3.8261304053e-12 2.3583871937e-09 5.4955663216e-15 -4.1017943579e-15 2.7109292328e-12
2024015231842.000 -399.9531613020 -5931.9668796711 3566.1578848548 6.6013478424 1.5923718510 3.3803230170
1.0521519741e-06 -1.4039388217e-06 2.9105558160e-06 8.9219040907e-11 -2.4596905067e-09 4.0263760756e-06 2.0714071412e-09
-3.2957592447e-09 4.5678976854e-12 4.8037782565e-12 -1.0620760158e-09 1.4520622370e-09 -4.7054214578e-12 -2.1089412641e-12
1.1091677952e-12 1.9899416550e-12 -4.6851818663e-12 2.2324542334e-09 6.5065615546e-15 -4.5223266558e-15 2.4096836170e-12
2024015231942.000 -3.2961460192 -5823.7319835147 3761.1385035820 6.6158100993 2.0141572471 3.1166975426
1.1163459038e-06 -1.5466798867e-06 3.2871608871e-06 2.4198769828e-10 -3.1568006644e-09 4.2848677327e-06 2.2263547319e-09
-3.6792411707e-09 5.7047723009e-12 5.2058296145e-12 -1.1279218932e-09 1.5985385493e-09 -5.4256047405e-12 -2.2681419061e-12
1.1768378172e-12 2.4188872912e-12 -5.6074067191e-12 2.0698498576e-09 7.5396026009e-15 -4.8955426265e-15 2.1292261763e-12
2024015232042.000 393.3747390195 -5690.4421268140 3939.8931641300 6.6018109183 2.4272380628 2.8396526006
1.1801902561e-06 -1.6955640322e-06 3.7008800857e-06 4.2833911305e-10 -3.9587245182e-09 4.5217836990e-06 2.3847825137e-09
