created:2023-01-29 12:34:56 UTC
ephemeris_start:2023-01-29 12:09:42 UTC ephemeris_stop:2023-02-01 12:09:42 UTC step_size:60
ephemeris_source:blend
UVW
2023029120942.000 4431.8689451822 4799.5643370231 -2309.3848699560 -2.2214654781 4.7011142203 5.5222556199
4.8701271943e-07 -3.7239957114e-07 7.4226300421e-07 -1.9332561214e-10 6.5173660039e-11 1.1830824453e-06 8.3142910138e-10
-8.6222585250e-10 -6.4832402508e-13 1.9185834909e-12 -4.5818424095e-10 3.8913887014e-10 8.7643294106e-13 -7.9594731449e-13
4.8995962240e-13 -6.6344887770e-13 5.2553640166e-14 1.6032281460e-09 -4.9004732272e-16 1.5610444256e-15 5.5236533980e-12
2023029121042.000 4289.1148676755 5071.0733378538 -1973.2920101074 -2.5353085742 4.3459048283 5.6767987322
5.3966039338e-07 -4.3886437096e-07 8.4607733454e-07 -2.5606444795e-10 1.5910651704e-10 1.3897056840e-06 9.3407121477e-10
-1.0017020229e-09 -8.1312436769e-13 2.1354621336e-12 -5.0957359104e-10 4.5575802259e-10 9.4127532605e-13 -8.9721528233e-13
5.4036517766e-13 -6.7127424485e-13 2.1012149967e-13 1.8357683343e-09 -6.6271688042e-16 1.5665950230e-15 5.3046728126e-12
2023029121142.000 4127.8486444019 5320.6953871256 -1628.6593163174 -2.8383153539 3.9718176983 5.8068243615
5.9583509249e-07 -5.1363217802e-07 9.6765360910e-07 -3.2334788030e-10 2.6893898124e-10 1.6224679050e-06 1.0448331131e-09
-1.1600627996e-09 -9.8980586156e-13 2.3693401665e-12 -5.6452554382e-10 5.3060987951e-10 9.8180852464e-13 -1.0067352529e-12
5.9432647946e-13 -6.5962157140e-13 3.4010576307e-13 2.0383200179e-09 -7.8500752117e-16 1.4957490435e-15 5.0542234119e-12
2023029121242.000 3948.7602022449 5547.3459275306 -1276.9752814607 -3.1291658735 3.5804602048 5.9117507592
6.5538819849e-07 -5.9707972113e-07 1.1091262754e-06 -3.9299945697e-10 3.9077737635e-10 1.8775604695e-06 1.1637252065e-09
-1.3390092700e-09 -1.1709904038e-12 2.6214550601e-12 -6.2290061008e-10 6.1407965995e-10 9.8881191372e-13 -1.1245287405e-12
6.5171975463e-13 -6.2547250804e-13 4.2897907348e-13 2.2073773610e-09 -8.4099068717e-16 1.3510538225e-15 4.7768650849e-12
2023029121342.000 3752.6173075256 5750.0388913072 -919.7607574818 -3.4065899637 3.1735191064 5.9911043252
7.1813004649e-07 -6.8953033692e-07 1.2727131336e-06 -4.6400264925e-10 5.1799094472e-10 2.1507804248e-06 1.2907228290e-09
-1.5402680003e-09 -1.3453745275e-12 2.8930582920e-12 -6.8450864770e-10 7.0647153984e-10 9.5288626497e-13 -1.2505356655e-12
7.1235275729e-13 -5.6426334408e-13 4.6233292610e-13 2.3400053067e-09 -8.1282554884e-16 1.1361134668e-15 4.4776380558e-12
2023029121442.000 3540.2622447709 5927.8916601218 -558.5615390726 -3.6693742381 2.7527522098 6.0445228113
7.8382493897e-07 -7.9123417776e-07 1.4607033175e-06 -5.3469966966e-10 6.4259137864e-10 2.4376114785e-06 1.4257394782e-09
-1.7655777207e-09 -1.4998964053e-12 3.1853857864e-12 -7.4911219452e-10 8.0801719307e-10 8.6622219660e-13 -1.3846389207e-12
7.7598727534e-13 -4.7163603211e-13 4.2643081861e-13 2.4338997215e-09 -6.8532879998e-16 8.5636375126e-16 4.1619658825e-12
2023029121542.000 3312.6082841486 6080.1290557555 -194.9417950484 -3.9163666233 2.3199823074 6.0717565583
8.5219501187e-07 -9.0236051992e-07 1.6754367894e-06 -6.0313729097e-10 7.5526795562e-10 2.7333007104e-06 1.5686256778e-09
-2.0166756140e-09 -1.6200890248e-12 3.4996519912e-12 -8.1642964019e-10 9.1886304340e-10 7.2257583691e-13 -1.5266550007e-12
8.4233918411e-13 -3.4339663295e-13 3.0828983365e-13 2.4874267963e-09 -4.4589919780e-16 5.1860952062e-16 3.8355628371e-12
2023029121642.000 3070.6358157584 6206.0870554839 169.5228366725 -4.1464833252 1.8770898315 6.0726737085
9.2292365561e-07 -1.0229893348e-06 1.9192823619e-06 -6.6699838104e-10 8.4582256118e-10 3.0329408799e-06 1.7191649340e-09
-2.2952821941e-09 -1.6904918615e-12 3.8370398283e-12 -8.8613912468e-10 1.0390617985e-09 5.1769044687e-13 -1.6763302672e-12
9.1108286464e-13 -1.7561439700e-13 9.6192471874e-14 2.4996521845e-09 -8.4774701966e-17 1.3116302751e-16 3.5043342689e-12
2023029121742.000 2815.3880331565 6305.2158685412 533.2523652883 -4.3587153149 1.4260003122 6.0472605377
9.9565951283e-07 -1.1531039251e-06 2.1946137646e-06 -7.2356120141e-10 9.0359330528e-10 3.3315554985e-06 1.8770704139e-09
-2.6030852531e-09 -1.6951459392e-12 4.1986902931e-12 -9.5788311664e-10 1.1685653208e-09 2.4947782553e-13 -1.8333381469e-12
9.8185639304e-13 3.5241254058e-14 -2.2000467000e-13 2.4703578852e-09 4.0475582801e-16 -2.9651105864e-16 3.1742733613e-12
2023029121842.000 2547.9663455617 6377.0823801583 894.6694787538 -4.5521318246 0.9686761045 5.9956201449
1.0700210540e-06 -1.2925847984e-06 2.5037840132e-06 -7.6971680430e-10 9.1781537598e-10 3.6241851744e-06 2.0419825307e-09
-2.9417230880e-09 -1.6182013082e-12 4.5856919924e-12 -1.0312735705e-09 1.3072188887e-09 -8.2008913141e-14 -1.9972772768e-12
1.0542672976e-12 2.9211397370e-13 -6.4873670338e-13 2.4000465274e-09 1.0261590425e-15 -7.5433542408e-16 2.8513561354e-12
2023029121942.000 2269.5255381152 6421.3720931461 1252.2065468586 -4.7258851266 0.5071072063 5.9179717785
1.1456016480e-06 -1.4412049024e-06 2.8490984540e-06 -8.0205814399e-10 8.7792048230e-10 3.9059737102e-06 2.2134674801e-09
-3.3127672705e-09 -1.4446380151e-12 4.9990707534e-12 -1.1058975888e-09 1.4547570061e-09 -4.7471480145e-13 -2.1676707095e-12
1.1278988184e-12 5.9713231025e-13 -1.1966757015e-12 2.2899329579e-09 1.7794911091e-15 -1.2321211345e-15 2.5414366211e-12
2023029122042.000 1981.2686856346 6437.8905292951 1604.3125330737 -4.8792138062 0.0433029073 5.8146492777
1.2219750714e-06 -1.5986263463e-06 3.2327868480e-06 -8.1699234686e-10 7.7384442811e-10 4.1722524339e-06 2.3910168098e-09
-3.7177052163e-09 -1.1609537245e-12 5.4397794947e-12 -1.1813234904e-09 1.6108008270e-09 -9.2471775196e-13 -2.3439661859e-12
1.2023165245e-12 9.5140020225e-13 -1.8686450287e-12 2.1419232660e-09 2.6613664998e-15 -1.7198899471e-15 2.2501441164e-12
2023029122142.000 1684.4418514034 6426.5641278974 1949.4598612795 -5.0114463002 -0.4207172627 5.6861005569
1.2987013649e-06 -1.7643986959e-06 3.6569749125e-06 -8.1072889747e-10 5.9640163319e-10 4.4186212774e-06 2.5740480443e-09
