created:2024-01-15 23:38:22 UTC
ephemeris_start:2024-01-15 23:18:42 UTC ephemeris_stop:2024-01-18 23:18:42 UTC step_size:60
ephemeris_source:blend
UVW
2024015231842.000 4653.1701291130 -2305.2362431897 4591.1749701137 4.2341667310 6.1808315969 -1.1852932834
4.7345334553e-07 -3.9368001268e-07 7.8611201131e-07 1.1780383816e-10 -3.8126734954e-10 1.2832334981e-06 8.2194127274e-10
-9.1291399247e-10 1.5653571939e-12 1.9327529807e-12 -4.6946095770e-10 4.1470786317e-10 -1.9676038552e-12 -8.2528280687e-13
5.0359280259e-13 3.7366870339e-13 -1.6788369264e-13 1.7241696518e-09 9.8850258649e-16 -2.7476296234e-15 5.4035998030e-12
2024015231942.000 4897.0330609929 -1929.6955662009 4510.2097717145 3.8916792477 6.3327031963 -1.5125789483
5.2185963923e-07 -4.5977515681e-07 8.9585991111e-07 1.8261817225e-10 -5.8972267562e-10 1.5034800498e-06 9.1859346884e-10
-1.0542673161e-09 1.9698983049e-12 2.1412445737e-12 -5.1882053820e-10 4.8309959089e-10 -2.3110094025e-12 -9.2444195309e-13
5.5411559776e-13 5.4950611992e-13 -6.0142549472e-13 1.9416137793e-09 1.6564172784e-15 -3.1925641750e-15 5.1690631721e-12
2024015232042.000 5119.8364576359 -1545.8563982587 4409.7955645132 3.5324349157 6.4573514967 -1.8333620323
5.7311004770e-07 -5.3343065747e-07 1.0234522135e-06 2.6473021591e-10 -8.6044746832e-10 1.7479527046e-06 1.0221846065e-09
-1.2136780458e-09 2.4680777705e-12 2.3650737186e-12 -5.7115822721e-10 5.5930814489e-10 -2.6843831751e-12 -1.0308963145e-12
6.0775641804e-13 7.3705041477e-13 -1.0766023469e-12 2.1273776269e-09 2.3628826018e-15 -3.5821248899e-15 4.9055171382e-12
2024015232142.000 5320.6208038749 -1155.3687640725 4290.3640278106 3.1579720666 6.5542371091 -2.1462618211
6.2702299395e-07 -6.1489118318e-07 1.1708528393e-06 3.6576207540e-10 -1.1980007525e-09 2.0126538393e-06 1.1326402330e-09
-1.3926239708e-09 3.0633147426e-12 2.6052875627e-12 -6.2628809775e-10 6.4358867827e-10 -3.0779610538e-12 -1.1445618285e-12
6.6432824351e-13 9.3238526206e-13 -1.5800591182e-12 2.2782614319e-09 3.0845201897e-15 -3.9084917165e-15 4.6177398271e-12
2024015232242.000 5498.5208113636 -759.9117041360 4152.4288090932 2.7698964745 6.6229389090 -2.4499297449
6.8337920884e-07 -7.0433649799e-07 1.3400783605e-06 4.8738036162e-10 -1.6048098084e-09 2.2932348906e-06 1.2498418093e-09
-1.5925872876e-09 3.7555620370e-12 2.8629275028e-12 -6.8398090050e-10 7.3611824274e-10 -3.4812856759e-12 -1.2652924729e-12
7.2359123417e-13 1.1307489323e-12 -2.0966125370e-12 2.3916626305e-09 3.7957767503e-15 -4.1650016253e-15 4.3109302056e-12
2024015232342.000 5652.7693977033 -361.1858526263 3996.5833110460 2.3698734576 6.6631569291 -2.7430564817
7.4192309824e-07 -8.0187039611e-07 1.5331805640e-06 6.3074446059e-10 -2.0812705742e-09 2.5850738469e-06 1.3736166132e-09
-1.8150417803e-09 4.5409305407e-12 3.1390145172e-12 -7.4396741830e-10 8.3699248664e-10 -3.8835550089e-12 -1.3928846984e-12
7.8526263276e-13 1.3263140116e-12 -2.6094648309e-12 2.4656235983e-09 4.4698895129e-15 -4.3466851604e-15 3.9906160020e-12
2024015232442.000 5782.7010043904 39.0938002983 3823.4981842672 1.9596208597 6.6747128092 -3.0243771814
8.0236693185e-07 -9.0751431925e-07 1.7522254324e-06 7.9642844599e-10 -2.6256707820e-09 2.8833542077e-06 1.5037358818e-09
-2.0614396677e-09 5.4116891646e-12 3.4345417373e-12 -8.0594262177e-10 9.4621658264e-10 -4.2739695591e-12 -1.5270722218e-12
8.4901983274e-13 1.5123177208e-12 -3.1005061221e-12 2.4988651709e-09 5.0795221376e-15 -4.4502612711e-15 3.6625596798e-12
2024015232542.000 5887.7545534812 439.2052807872 3633.9185105940 1.5409021167 6.6575518795 -3.2926766076
8.6439520011e-07 -1.0212015088e-06 1.9992706362e-06 9.8436552210e-10 -3.2340922959e-09 3.1831478653e-06 1.6399123674e-09
-2.3331973630e-09 6.3565469527e-12 3.7504651527e-12 -8.6957038021e-10 1.0636985293e-09 -4.6419056235e-12 -1.6675232173e-12
9.1450545663e-13 1.6812675109e-12 -3.5504615859e-12 2.4908091062e-09 5.5976068582e-15 -4.4738782261e-15 3.3326595804e-12
2024015232642.000 5967.4759218082 837.4270115906 3428.6606601838 1.1155175308 6.6117435712 -3.5467945359
9.2766939593e-07 -1.1427724068e-06 2.2763416288e-06 1.1938758664e-09 -3.9003410960e-09 3.4794999651e-06 1.7817985918e-09
-2.6316804950e-09 7.3611831611e-12 4.0876938776e-12 -9.3448871225e-10 1.1892439002e-09 -4.9771347672e-12 -1.8138383824e-12
9.8133310145e-13 1.8252216654e-12 -3.9391096206e-12 2.4415885307e-09 5.9982201001e-15 -4.4170101871e-15 3.0068485164e-12
2024015232742.000 6021.5199275476 1232.0453326894 3208.6088436729 0.6852971876 6.5374806304 -3.7856307382
9.9183315726e-07 -1.2719714128e-06 2.5854066823e-06 1.4235913974e-09 -4.6161428950e-09 3.7675142856e-06 1.9289858940e-09
-2.9581883961e-09 8.4085928727e-12 4.4470801637e-12 -1.0003154820e-09 1.3225521471e-09 -5.2703135763e-12 -1.9655499420e-12
1.0490936265e-12 1.9359758040e-12 -4.2458026136e-12 2.3520461459e-09 6.2571611463e-15 -4.2807401702e-15 2.6909915315e-12
2024015232842.000 6049.6519165548 1621.3618288389 2974.7113378161 0.2520938422 6.4350789166 -4.0081509659
1.0565176683e-06 -1.4084450646e-06 2.9283512560e-06 1.6712819472e-09 -5.3714932247e-09 4.0424376658e-06 2.0810042980e-09
-3.3139382946e-09 9.4792635363e-12 4.8294092918e-12 -1.0666544510e-09 1.4632145924e-09 -5.5134324469e-12 -2.1221216909e-12
1.1173619065e-12 2.0051910108e-12 -4.4499949060e-12 2.2237201881e-09 6.3523046318e-15 -4.0678614148e-15 2.3907845890e-12
2024015232942.000 6051.7488522306 2003.7006853640 2727.9763581314 -0.1822261587 6.3049753669 -4.2133920129
1.1213472197e-06 -1.5517416868e-06 3.3069521063e-06 1.9337307871e-09 -6.1549278494e-09 4.2997420222e-06 2.2373232219e-09
-3.7000494583e-09 1.0551505696e-11 5.2353894991e-12 -1.1331015817e-09 1.6107142015e-09 -5.6999796916e-12 -2.2829501217e-12
1.1857039403e-12 2.0245955935e-12 -4.5315435824e-12 2.0588183460e-09 6.2639824569e-15 -3.7825897068e-15 2.1116559497e-12
2024015233042.000 6027.7999055506 2377.4158730249 2469.4677383759 -0.6157898130 6.1477259455 -4.4004634758
1.1859448849e-06 -1.7013125673e-06 3.7228514971e-06 2.2069198873e-09 -6.9535926921e-09 4.5352025347e-06 2.3973531363e-09
-4.1175275429e-09 1.1602482254e-11 5.6656422182e-12 -1.1992514702e-09 1.7644271030e-09 -5.8249121633e-12 -2.4473666107e-12
