created:2023-01-29 12:35:00 UTC
ephemeris_start:2023-01-29 11:28:42 UTC ephemeris_stop:2023-02-01 11:28:42 UTC step_size:60
ephemeris_source:blend
UVW
2023029112842.000 -4327.1657615638 5296.9268927575 1083.2289129552 -2.9641239890 -3.6509150489 5.9579471075
5.7441718826e-07 -4.5746241416e-07 9.9739832567e-07 -1.5900947218e-10 -1.1991866257e-10 1.4236427748e-06 9.5862410156e-10
-1.1205674038e-09 1.4010001837e-13 2.2109206642e-12 -5.4157557169e-10 4.6499081002e-10 -2.6206333624e-13 -9.1779217514e-13
5.6579537480e-13 -7.8609776739e-13 2.6972811238e-13 1.7798395796e-09 -1.7932634469e-16 2.1167451201e-16 6.1691824592e-12
2023029112942.000 -4495.5277947154 5066.5755223082 1438.0986944690 -2.6459140460 -4.0246969918 5.8667580124
6.3089370689e-07 -5.3364991203e-07 1.1227259418e-06 -2.1032390464e-10 -1.2437636979e-10 1.6526660300e-06 1.0688634813e-09
-1.2838205998e-09 1.9483262455e-13 2.4489339650e-12 -5.9744045669e-10 5.4037354988e-10 -4.3232416978e-13 -1.0268191184e-12
6.2081230867e-13 -6.6367037766e-13 1.5449867117e-13 2.0319395983e-09 6.8392585577e-17 -1.6072404930e-16 5.9227082832e-12
2023029113042.000 -4644.4460441371 4814.3108265384 1786.7308714822 -2.3162347620 -4.3811002854 5.7501162669
6.9047873189e-07 -6.1861713499e-07 1.2682240279e-06 -2.5472620886e-10 -1.5276721864e-10 1.9099718094e-06 1.1870886892e-09
-1.4677200519e-09 3.0228656985e-13 2.7049514270e-12 -6.5650365236e-10 6.2453268764e-10 -6.6327753814e-13 -1.1440288139e-12
6.7911514435e-13 -5.0461968765e-13 -3.8165013538e-14 2.2506153783e-09 4.2270706982e-16 -5.9483966890e-16 5.6421857681e-12
2023029113142.000 -4773.2751955138 4541.2222707801 2127.6134865784 -1.9765196257 -4.7185709236 5.6085277814
7.5294363710e-07 -7.1262804463e-07 1.4361438578e-06 -2.8870363037e-10 -2.1492059462e-10 2.1913230728e-06 1.3132040267e-09
-1.6739686449e-09 4.7593280940e-13 2.9801486625e-12 -7.1854751132e-10 7.1775414772e-10 -9.5990761381e-13 -1.2693468766e-12
7.4050105959e-13 -3.0812925877e-13 -3.1688172250e-13 2.4320899555e-09 8.8874150490e-16 -1.0807689611e-15 5.3327169547e-12
2023029113242.000 -4881.4572174656 4248.4904385318 2459.2675233218 -1.6282467643 -5.0356384692 5.4426086016
8.1802327315e-07 -8.1587683740e-07 1.6287897648e-06 -3.0943946974e-10 -3.2234509767e-10 2.4920588057e-06 1.4470723178e-09
-1.9042703386e-09 7.3264116810e-13 3.2757003166e-12 -7.8330614306e-10 8.2022470268e-10 -1.3265480330e-12 -1.4026060738e-12
8.0470353066e-13 -7.1280606192e-14 -6.8981829984e-13 2.5732238488e-09 1.4717702730e-15 -1.6070121233e-15 4.9999169215e-12
2023029113342.000 -4968.5239380548 3937.3813899602 2780.2542893839 -1.2729316058 -5.3309224801 5.2530813195
8.8541040997e-07 -9.2846828877e-07 1.8485044870e-06 -3.1369487497e-10 -4.8683559190e-10 2.8071845961e-06 1.5884871103e-09
-2.1603168079e-09 1.0886245601e-12 3.5927514779e-12 -8.5047203900e-10 9.3204492381e-10 -1.7650057752e-12 -1.5435790687e-12
8.7141625837e-13 2.0752246528e-13 -1.1627943303e-12 2.6715788307e-09 2.1721420965e-15 -2.1612588318e-15 4.6498034066e-12
2023029113442.000 -5034.0990734225 3609.2411734091 3089.1816047654 -0.9121204902 -5.6031383912 5.0407734379
9.5476125932e-07 -1.0504118122e-06 2.0976447587e-06 -2.9801240293e-10 -7.2011577557e-10 3.1314575925e-06 1.7371737416e-09
-2.4437724987e-09 1.5594460916e-12 3.9324125271e-12 -9.1970023335e-10 1.0532176555e-09 -2.2746056633e-12 -1.6919695617e-12
9.4029437050e-13 5.2898271756e-13 -1.7391133451e-12 2.7254584778e-09 2.9860804031e-15 -2.7302351044e-15 4.2886934363e-12
2023029113542.000 -5077.8998464949 3265.4898401546 3384.7100002921 -0.5473824591 -5.8511051239 4.8066134604
1.0257001778e-06 -1.1816148857e-06 2.3785561534e-06 -2.5876627940e-10 -1.0333762327e-09 3.4594774029e-06 1.8927871099e-09
-2.7562589150e-09 2.1593635077e-12 4.2957500608e-12 -9.9061336963e-10 1.1836415773e-09 -2.8522188480e-12 -1.8474102946e-12
1.0109599021e-12 8.9275918499e-13 -2.4193749448e-12 2.7339373258e-09 3.9056881372e-15 -3.3002274931e-15 3.9230928383e-12
2023029113642.000 -5099.7381027023 2907.6150618672 3665.5585761965 -0.1803011134 -6.0737496735 4.5516241349
1.0978249327e-06 -1.3218778790e-06 2.6935464603e-06 -1.9231057733e-10 -1.4369131133e-09 3.7857796846e-06 2.0549103483e-09
-3.0993383888e-09 2.9005318446e-12 4.6837777490e-12 -1.0628072757e-09 1.3231061913e-09 -3.4924990821e-12 -2.0094618785e-12
1.0830077275e-12 1.2972694753e-12 -3.2014764237e-12 2.6968765006e-09 4.9189571817e-15 -3.8577430367e-15 3.5595826609e-12
2023029113742.000 -5099.5209648036 2537.1656294347 3930.5104999907 0.1875312589 -6.2701098792 4.2769177041
1.1707124824e-06 -1.4708904261e-06 3.0448579339e-06 -9.5102154076e-11 -1.9397448708e-09 4.1049307846e-06 2.2230545069e-09
-3.4744975437e-09 3.7923739107e-12 5.0974472959e-12 -1.1358569406e-09 1.4712882610e-09 -4.1880713098e-12 -2.1776124441e-12
1.1560117776e-12 1.7395664396e-12 -4.0805544374e-12 2.6149255870e-09 6.0099912386e-15 -4.3898350148e-15 3.2047045296e-12
2023029113842.000 -5077.2512182518 2155.7445773133 4178.4182590012 0.5545203622 -6.4393390675 3.9836916933
1.2439251509e-06 -1.6282294279e-06 3.4346388342e-06 3.6150974317e-11 -2.5492722077e-09 4.4116217800e-06 2.3966592253e-09
-3.8831306730e-09 4.8410073173e-12 5.5376395300e-12 -1.2093228055e-09 1.6277498113e-09 -4.9297823486e-12 -2.3512781744e-12
1.2295314889e-12 2.2152439651e-12 -5.0489794612e-12 2.4895107544e-09 7.1593347582e-15 -4.8844014238e-15 2.8648469957e-12
2023029113942.000 -5033.0271692598 1765.0021926696 4408.2086002030 0.9190773480 -6.5807097865 3.6732228449
1.3170170804e-06 -1.7933587495e-06 3.8649146870e-06 2.0430083341e-10 -3.2709891212e-09 4.7007602787e-06 2.5750943822e-09
-4.3265232405e-09 6.0487098943e-12 6.0051556670e-12 -1.2827572658e-09 1.7919377443e-09 -5.7069920696e-12 -2.5298047052e-12
1.3031183932e-12 2.7183699875e-12 -6.0963921712e-12 2.3228094048e-09 8.3443771005e-15 -5.3304390811e-15 2.5461348774e-12
2023029114042.000 -4967.0421226004 1366.6287735721 4618.8870997923 1.2796255247 -6.6936161603 3.3468610821
1.3895408742e-06 -1.9656306670e-06 4.3375596595e-06 4.1155582885e-10 -4.1082170128e-09 4.9675583952e-06 2.7576627538e-09
