created:2024-01-15 23:38:19 UTC
ephemeris_start:2024-01-15 23:08:42 UTC ephemeris_stop:2024-01-18 23:08:42 UTC step_size:60
ephemeris_source:blend
UVW
2024015230842.000 -4779.8332711362 -2408.1327133856 -4352.0336922425 1.8288083279 -7.1189038146 1.9315209203
4.8476151161e-07 -3.8677858351e-07 7.7007583832e-07 -1.4820050604e-10 3.4680468979e-10 1.2320156157e-06 8.3603771704e-10
-9.0255680134e-10 -1.5006505782e-12 1.9512020235e-12 -4.6583119594e-10 4.0356019241e-10 1.8534229085e-12 -8.1730357645e-13
4.9836315743e-13 -5.0354013612e-13 1.3864628108e-13 1.6604751388e-09 -9.5969490781e-16 2.6516840020e-15 5.4681374423e-12
2024015230942.000 -4659.7551270129 -2829.7018875151 -4226.7046425893 2.1723485449 -6.9282779825 2.2445962921
5.3558766259e-07 -4.5392037154e-07 8.7800577213e-07 -2.2001177747e-10 5.4259809812e-10 1.4450073841e-06 9.3711727556e-10
-1.0455303820e-09 -1.8831922174e-12 2.1683349352e-12 -5.1683144470e-10 4.7183520123e-10 2.1612236008e-12 -9.1928822159e-13
5.4948583942e-13 -6.6926844288e-13 5.4813059694e-13 1.8844653801e-09 -1.5959343497e-15 3.0575721097e-15 5.2384986869e-12
2024015231042.000 -4519.3398598717 -3238.9206030494 -4082.8774610725 2.5064689029 -6.7073799972 2.5479056314
5.8959800010e-07 -5.2910797282e-07 1.0040217582e-06 -3.0856569396e-10 7.9580157637e-10 1.6830392088e-06 1.0458467570e-09
-1.2074238034e-09 -2.3508199720e-12 2.4021594138e-12 -5.7114208629e-10 5.4830068531e-10 2.4922504845e-12 -1.0292451786e-12
6.0405658961e-13 -8.4268172818e-13 9.9202590898e-13 2.0772604866e-09 -2.2600950205e-15 3.4015007388e-15 4.9783951882e-12
2024015231142.000 -4359.1964098332 -3634.0007739960 -3921.1778462893 2.8297147283 -6.4571573381 2.8401251667
6.4661841042e-07 -6.1265347751e-07 1.1502165588e-06 -4.1441527689e-10 1.1103217714e-09 1.9421645782e-06 1.1621898408e-09
-1.3898723698e-09 -2.9050319343e-12 2.6538625021e-12 -6.2858892046e-10 6.3328807210e-10 2.8363196717e-12 -1.1471399117e-12
6.6191300694e-13 -1.0190685917e-12 1.4560934668e-12 2.2354854993e-09 -2.9279124346e-15 3.6772984021e-15 4.6926047037e-12
2024015231242.000 -4180.0198238103 -4013.2144006942 -3742.3098458977 3.1406758026 -6.1786847345 3.1199760688
7.0643568169e-07 -7.0480943868e-07 1.3187515656e-06 -5.3888842756e-10 1.4873411149e-09 2.2180605216e-06 1.2860740318e-09
-1.5945280788e-09 -3.5438956815e-12 2.9246442290e-12 -6.8894829660e-10 7.2704090262e-10 3.1823029316e-12 -1.2728567786e-12
7.2282283481e-13 -1.1930466666e-12 1.9239793585e-12 2.3563606424e-09 -3.5724155004e-15 3.8788205929e-15 4.3863646126e-12
2024015231342.000 -3982.5882304866 -4374.9018367302 -3547.0526877547 3.4379930603 -5.8731609028 3.3862303287
7.6879459563e-07 -8.0575053251e-07 1.5118420509e-06 -6.8268520067e-10 1.9258748339e-09 2.5061106666e-06 1.4173668947e-09
-1.8230453423e-09 -4.2617697445e-12 3.2156892678e-12 -7.5195028951e-10 8.2972135699e-10 3.5187900552e-12 -1.4062202203e-12
7.8650611242e-13 -1.3582307480e-12 2.3776037422e-12 2.4377581041e-09 -4.1660905265e-15 4.0015633805e-15 4.0652725087e-12
2024015231442.000 -3767.7595952396 -4717.4789841599 -3336.2575930328 3.7203649307 -5.5419040774 3.6377172949
8.3340252447e-07 -9.1556682465e-07 1.7317351265e-06 -8.4600245697e-10 2.4226434861e-09 2.8014842911e-06 1.5558756541e-09
-2.0770672069e-09 -5.0494573715e-12 3.5281612164e-12 -8.1728273834e-10 9.4139759416e-10 3.8345262026e-12 -1.5469857117e-12
8.5263580221e-13 -1.5074282314e-12 2.7975655336e-12 2.4782385079e-09 -4.6813509319e-15 4.0428379858e-15 3.7351910642e-12
2024015231542.000 -3536.4681532491 -5039.4442340850 -3110.8441522746 3.9865528175 -5.1863457100 3.8733294446
8.9993366103e-07 -1.0342564917e-06 1.9806862804e-06 -1.0283841483e-09 2.9722072806e-09 3.0992206197e-06 1.7013439743e-09
-2.3582100328e-09 -5.8943187569e-12 3.8631924639e-12 -8.8459591684e-10 1.0620354885e-09 4.1189307228e-12 -1.6948361437e-12
9.2084295543e-13 -1.6327502806e-12 3.1636313396e-12 2.4770769394e-09 -5.0911457743e-15 4.0019969323e-15 3.4021463083e-12
2024015231642.000 -3289.7203990389 -5339.3851442565 -2871.7963991755 4.2353861798 -4.8080245199 4.0920269427
9.6803380834e-07 -1.1617198115e-06 2.2609341083e-06 -1.2286083944e-09 3.5671231952e-09 3.3943155020e-06 1.8534495151e-09
-2.6680472198e-09 -6.7805525024e-12 4.2218735724e-12 -9.5350788658e-10 1.1914918583e-09 4.3624521432e-12 -1.8493791555e-12
9.9072269111e-13 -1.7257923879e-12 3.4551035428e-12 2.4342765723e-09 -5.3695929266e-15 3.8802765667e-15 3.0722226854e-12
2024015231742.000 -3028.5909026545 -5615.9846643007 -2620.1586184077 4.4657677472 -4.4085809587 4.2928419271
1.0373256463e-06 -1.2977545543e-06 2.5746736125e-06 -1.4446530193e-09 4.1980858858e-09 3.6818089672e-06 2.0118023392e-09
-3.0080922133e-09 -7.6897106322e-12 4.6052423284e-12 -1.0236104498e-09 1.3295093740e-09 4.5567810180e-12 -2.0101455477e-12
1.0618409013e-12 -1.7779017710e-12 3.6510920776e-12 2.3505695997e-09 -5.4926600123e-15 3.6804730247e-15 2.7514567027e-12
2024015231842.000 -2754.2177361324 -5868.0270779989 -2357.0309056775 4.6766789262 -3.9897513424 4.4748826548
1.1074143848e-06 -1.4420528828e-06 2.9240284739e-06 -1.6737605480e-09 4.8540802291e-09 3.9568721238e-06 2.1759442364e-09
-3.3797810455e-09 -8.6014540718e-12 5.0142726289e-12 -1.0944756055e-09 1.4757133046e-09 4.6950240138e-12 -2.1765888758e-12
1.1337415745e-12 -1.7805181187e-12 3.7307901552e-12 2.2274053952e-09 -5.4388565747e-15 3.4066524219e-15 2.4457310272e-12
2024015231942.000 -2467.7975955872 -6094.4035513842 -2083.5644510593 4.8671849895 -3.5533607337 4.6373386032
1.1778937041e-06 -1.5941998432e-06 3.3110227426e-06 -1.9124159716e-09 5.5227177581e-09 4.2148918781e-06 2.3453490065e-09
-3.7844546864e-09 -9.4940996358e-12 5.4498633704e-12 -1.1656624006e-09 1.6296102389e-09 4.7719863071e-12 -2.3480863101e-12
1.2059546177e-12 -1.7254268246e-12 3.6739055051e-12 2.0669260567e-09 -5.1896286811e-15 3.0640831098e-15 2.1606709106e-12
2024015232042.000 -2170.5806352422 -6294.1172054792 -1800.9565221025 5.0364393957 -3.1013145515 4.7794850099
1.2483518863e-06 -1.7536735061e-06 3.7375523985e-06 -2.1562534694e-09 6.1906256996e-09 4.4515519778e-06 2.5194237476e-09
