utc,x_TLE,y_TLE,z_TLE
2020-02-28 00:00:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:05:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:10:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:15:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:20:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:25:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:30:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:35:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:40:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:45:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:50:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 00:55:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:00:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:05:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:10:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:15:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:20:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:25:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:30:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:35:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:40:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:45:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:50:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 01:55:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:00:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:05:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:10:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:15:00.000,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:19:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:24:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:29:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:34:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:39:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:44:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:49:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:54:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 02:59:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:04:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:09:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:14:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:19:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:24:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:29:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:34:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:39:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:44:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:49:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:54:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 03:59:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:04:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:09:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:14:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:19:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:24:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:29:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:34:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:39:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:44:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:49:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:54:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 04:59:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:04:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:09:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:14:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:19:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:24:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:29:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:34:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
2020-02-28 05:39:59.999,-19721.54725407165,2388.025500483166,17002.140602122992
