Epoch,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2023-04-22 23:59:57,9.132101357816476e-11,1.3598149615594351e-14,3.9692885849205045e-14,3.276870397967349e-14,-908360.8658418641,942120.4299138036,7038267.506057638,7328.2163059634695,1151.4837054187465,789.7448921643646,7.482056371133083e-06,1.1477681014504526e-06,9.51408230420725e-07
2023-04-23 00:00:12,1.332903366235595e-10,1.3738981103095932e-14,4.011436304254249e-14,3.302614597066775e-14,-798331.5977761012,959277.3688442714,7049254.833407945,7342.053028135839,1136.0649668389499,675.225476824057,1.0981828114542402e-05,1.629803720426537e-06,8.49038500838617e-07
2023-04-23 00:00:27,-2.3073150738770137e-11,1.3883670031826237e-14,4.0447337259836015e-14,3.3179252644213047e-14,-688108.1783612835,976200.965640998,7058523.211712669,7354.103942915308,1120.3701080564172,560.5424127286176,-1.8609704216521195e-06,-4.0309693627449406e-07,-4.2633080443721383e-07
2023-04-23 00:00:42,-3.432260847633732e-11,1.4032216331374904e-14,4.075107749394242e-14,3.3326768005174034e-14,-577717.4214300744,992887.1109199545,7066070.426674712,7364.366198676855,1104.4029335935763,445.7234786635792,-2.797726379122345e-06,-5.412267478632771e-07,-4.1400125017077016e-07
2023-04-23 00:00:57,7.236597152543595e-12,1.4184445008272501e-14,4.102465103073463e-14,3.346919604249027e-14,-467186.1562411294,1009331.7199079734,7071894.440273477,7372.837123680308,1088.167275346283,330.79646582524924,6.123507662048056e-07,8.802919504447004e-09,-4.610265591509233e-08
2023-04-23 00:01:12,1.0239913416980428e-11,1.4339844572439584e-14,4.126715556348944e-14,3.360698680231223e-14,-356541.2737570701,1025530.8062753289,7075993.919594362,7379.5147657248435,1071.6670747041048,215.7892150530342,8.614073240265085e-07,3.597374531594255e-08,-6.926187801070682e-08
2023-04-23 00:01:27,-9.676669454733263e-13,1.4497551149816895e-14,4.1477896932031e-14,3.3740719357210834e-14,-245809.6861762225,1041480.4269790407,7078367.837418978,7384.397485398758,1054.9063193413956,100.72958304885866,-6.450330325424858e-08,-1.0678593631574529e-07,-1.379278220525748e-07
2023-04-23 00:01:42,-1.8636801406516753e-12,1.46563134746546e-14,4.16563094787058e-14,3.387104513094982e-14,-135018.32893576112,1057176.7136796662,7079015.684207758,7387.484174907401,1037.8890725779406,-14.354559678380724,-1.4037786560949783e-07,-1.2177894137543888e-07,-1.5705105571584e-07
2023-04-23 00:01:57,1.0479493017418247e-12,1.4814616442984132e-14,4.180207074475951e-14,3.3998757032877435e-14,-24194.146221973977,1072615.8378512813,7077937.221852942,7388.774005239539,1020.6194368047775,-129.43533926447213,9.788720327016942e-08,-8.270156981460275e-08,-1.0894409019357454e-07
2023-04-23 00:02:12,1.1764374025169219e-12,1.4970822285063716e-14,4.191498327863486e-14,3.4124622779779625e-14,86635.90602124715,1087794.0555185028,7075132.780295166,7388.266730900514,1003.1015950525181,-244.48488223091624,1.0622300619655967e-07,-8.097293902054048e-08,-1.2030910934157646e-07
2023-04-23 00:02:27,4.326334075935623e-13,1.5123438177623496e-14,4.199510617765999e-14,3.424941096509161e-14,197444.8705360068,1102707.665076805,7070602.970053758,7385.962394513331,985.3397695465553,-359.47532013068144,4.333040801163257e-08,-8.931245565335644e-08,-1.0427731567119736e-07
2023-04-23 00:02:42,2.4094329394135334e-13,1.5271273975044974e-14,4.204264377990322e-14,3.43737254492625e-14,308205.796565999,1117353.0498545605,7064348.955914426,7381.861607655092,967.3382586518384,-474.37880425689514,2.5528443192701644e-08,-9.60528334648103e-08,-1.149158510571624e-07
2023-04-23 00:02:57,4.340623297597084e-13,1.5413591090528208e-14,4.205807067048308e-14,3.4498073101284254e-14,418891.7409357573,1131726.6361956564,7056372.180553414,7375.96526669921,949.1013982841674,-589.1674998672784,4.074350951066563e-08,-9.486267305014451e-08,-1.0162876851183e-07
2023-04-23 00:03:12,3.727949995154268e-13,1.5550067746852473e-14,4.204201396101925e-14,3.462276226115929e-14,529475.784291585,1145824.937573144,7046674.643942733,7368.274838250313,930.6335984231887,-703.8136083377706,3.384554858598676e-08,-9.472331696791514e-08,-1.0078942036528815e-07
2023-04-23 00:03:27,2.7445879320676467e-13,1.5680770119974664e-14,4.199537624454803e-14,3.474802820743249e-14,639931.0234513948,1159644.5117515808,7035258.624059598,7358.792073315647,911.9393054623829,-818.2893527548151,2.4780428931059362e-08,-9.153649349613602e-08,-8.799986872531917e-08
2023-04-23 00:03:42,3.192556037940056e-13,1.5806005008586572e-14,4.1919213992442475e-14,3.4873960146130715e-14,750230.5960977669,1173182.0065323845,7022126.953606281,7347.519290281787,893.023037386721,-932.5670069286521,2.5794379854282568e-08,-9.119210298003111e-08,-9.723881255752076e-08
2023-04-23 00:03:57,1.9916736348999988e-13,1.5926256214562082e-14,4.181485514185686e-14,3.500063065950393e-14,860347.6644704401,1186434.1151639004,7007282.742403572,7334.459091219792,873.8893474285173,-1046.618873725603,1.5625666094365442e-08,-9.22678824455403e-08,-8.595368150565719e-08
2023-04-23 00:04:12,2.359358535950348e-13,1.6042055484252288e-14,4.168377167907847e-14,3.5128011195228214e-14,970255.4481731161,1199397.6226453204,6990729.654021282,7319.614645559294,854.5428582179657,-1160.4173215125215,1.5819829002339247e-08,-9.607831863434058e-08,-9.747625995260023e-08
2023-04-23 00:04:27,9.195844106794907e-14,1.6153964608478187e-14,4.152769135172218e-14,3.52560881518923e-14,1079927.1998525064,1212069.360269256,6972471.628090942,7302.98940648879,834.9882264736082,-1273.9347555019071,6.146427367070828e-09,-9.27633616587542e-08,-7.040161964511071e-08
2023-04-23 00:04:42,9.510147345116585e-14,1.6262494191621705e-14,4.1348464676227743e-14,3.5384765282865133e-14,1189336.2469633985,1224446.2527511497,6952513.154741953,7284.587394873588,815.2301758694955,-1387.1436627883118,2.498699025466067e-09,-9.407446954767806e-08,-8.471636547824346e-08
2023-04-23 00:04:57,2.133497638900766e-14,1.6368127101781018e-14,4.1148169231547685e-14,3.551397134462182e-14,1298455.958698962,1236525.272247336,6930858.998914554,7264.412915173467,795.273462774308,-1500.0165759067372,-1.5854411117288691e-09,-8.797080996991724e-08,-6.304360233855277e-08
2023-04-23 00:05:12,5.929838588276384e-14,1.6471265991976118e-14,4.092897037501062e-14,3.564355592674341e-14,1407259.7963978224,1248303.4872548897,6907514.474294466,7242.470838549292,775.1229073797288,-1612.5261272719347,-2.057222836526762e-09,-9.2080955971241e-08,-7.625694919966008e-08
2023-04-23 00:05:27,2.2353304412576922e-14,1.6572277015357288e-14,4.069321905333079e-14,3.577339568498349e-14,1515721.2714469954,1259778.0146092265,6882485.168072561,7218.766318988112,754.7833609925694,-1724.6450036797169,-2.9315572191990213e-10,-9.264180023116353e-08,-4.973196698898619e-08
2023-04-23 00:05:42,-4.5157805984228535e-14,1.667144829229641e-14,4.044330801766568e-14,3.590328862816677e-14,1623814.0032815984,1270946.0681583956,6855777.2127148025,7193.305075080633,734.2597355571452,-1836.3460095704013,-1.0670245798038991e-08,-9.066066142260354e-08,-6.257558915478967e-08
2023-04-23 00:05:57,-8.330266799207735e-14,1.6769040310107978e-14,4.018176347253093e-14,3.603306108811063e-14,1731511.6699083927,1281804.9110022695,6827397.012302465,7166.093106737375,713.5569727340378,-1947.6020126098715,-1.0887444723550743e-08,-8.448362676105603e-08,-4.4240767493874955e-08
2023-04-23 00:06:12,-1.0688335794211973e-13,1.6865246298557453e-14,3.991109813850189e-14,3.6162461470496504e-14,1838788.0755726106,1292351.9062353906,6797351.512102968,7137.136974544463,692.680072411393,-2058.386015721766,-1.6776803057894085e-08,-8.23569157315518e-08,-5.33875335051448e-08
2023-04-23 00:06:27,-8.227624210673399e-14,1.6960243898823488e-14,3.9633898899953785e-14,3.6291268921546686e-14,1945617.0916108617,1302584.4671530547,6765647.926874537,7106.443518318693,671.6340629134312,-2168.6710935166498,-1.0593192101282511e-08,-7.753345188099559e-08,-3.4981077590146015e-08
2023-04-23 00:06:42,-7.007684718081679e-14,1.705415444730875e-14,3.935267962580312e-14,3.641918707329558e-14,2051972.731486795,1312500.107858905,6732294.008152462,7074.0201341239745,650.4240280811049,-2278.4304720950454,-1.1131877197811946e-08,-7.731943041378031e-08,-3.7362505089788556e-08
2023-04-23 00:06:57,-9.986042853333205e-14,1.7147094150049174e-14,3.906996710845982e-14,3.6545959915036343e-14,2157829.0839329143,1322096.3933506457,6697297.774861473,7039.874495041789,629.0550788124102,-2387.6374570397725,-1.071442534694711e-08,-7.433306770110448e-08,-2.5024820438090956e-08
2023-04-23 00:07:12,3.1942986340604674e-14,1.72391315238894e-14,3.878815618672714e-14,3.6671242265019405e-14,2263160.3966300995,1331370.9913938735,6660667.778707018,7004.014825976819,607.5323787167785,-2496.265520372891,-4.849951107388506e-09,-7.228831311323347e-08,-3.9084039116232816e-08
2023-04-23 00:07:27,-9.979518927867139e-14,1.7330339245700983e-14,3.8509597494684735e-14,3.679474560574639e-14,2367941.000882932,1340321.6215653403,6622412.836202411,6966.449627059657,585.8611171190325,-2604.288221139744,-1.1565367774579727e-08,-6.752923376041053e-08,-2.2166738666840047e-08
2023-04-23 00:07:42,1.2895158647451946e-14,1.7420747643307196e-14,3.8236458568861473e-14,3.691610888059837e-14,2472145.4035424236,1348946.1079185228,6582542.290311735,6927.187947501313,564.0465334941294,-2711.679300039561,-9.466174955008455e-09,-6.507363381480502e-08,-4.058469293966027e-08
2023-04-23 00:07:57,-8.464865407148727e-14,1.751039540240858e-14,3.797081541650912e-14,3.703501712639905e-14,2575748.2033398254,1357242.327029953,6541065.746122458,6886.239110363159,542.0938917043281,-2818.412592911321,-9.684037127755118e-09,-5.895798937949337e-08,-1.6217039267019118e-08
2023-04-23 00:08:12,3.205341372071909e-14,1.759928385244926e-14,3.77145213250763e-14,3.7151093614962795e-14,2678724.1909809103,1365208.261091658,6497993.330764816,6843.612985027611,520.0085030109675,-2924.462134499123,-9.482161278384638e-09,-5.910922840079991e-08,-3.944105397835074e-08
2023-04-23 00:08:27,-2.3009196481547313e-14,1.7687427187491444e-14,3.746930532957998e-14,3.7264014771092135e-14,2781048.2571820966,1372841.9454337691,6453335.430450591,6799.319712926228,497.79570160141515,-3029.8020635594603,-7.231761856019148e-09,-5.42922660162759e-08,-2.0354349317130982e-08
2023-04-23 00:08:42,7.53882211407268e-15,1.7774805432409384e-14,3.723665126631696e-14,3.737340220469693e-14,2882695.500727865,1380141.5223233425,6407102.945674978,6753.369977366097,475.4608659680701,-3134.406735993289,-1.760686796359323e-08,-5.012366299794735e-08,-4.693006072642447e-08
2023-04-23 00:08:57,-6.19543335423139e-14,1.7861414497829165e-14,3.7017903119634614e-14,3.7478938204522007e-14,2983641.1286150822,1387105.1879903795,6359307.032756402,6705.774731038342,453.0093960391028,-3238.2506208440827,-1.5768426120388312e-08,-4.22366235319771e-08,-2.6557179566566447e-08
2023-04-23 00:09:12,-1.8238988267172708e-13,1.794721781258153e-14,3.681415348259894e-14,3.7580256342347717e-14,3083860.5726221087,1393731.2475797378,6309959.357022809,6656.545462294703,430.44673318073706,-3341.308422580932,-3.643114920848234e-08,-4.575016698815659e-08,-4.4303378743393296e-08
2023-04-23 00:09:27,-1.5008807251052986e-13,1.8032196912948598e-14,3.6626356923977926e-14,3.767705861437945e-14,3183329.380727116,1400018.0607862582,6259071.836215409,6605.693925171315,407.7783385748815,-3443.5549676609294,-2.799623555205244e-08,-4.114150864431565e-08,-3.1297954450337784e-08
2023-04-23 00:09:42,-1.9447151960019248e-13,1.811630244226563e-14,3.645522809525005e-14,3.7769005762593045e-14,3282023.3409260367,1405964.0965898554,6206656.888718958,6553.232400781263,385.0097112281323,-3544.9653350675476,-3.430972572715518e-08,-4.415329790674605e-08,-3.3896097484387155e-08
2023-04-23 00:09:57,-2.4726525749065147e-13,1.8199504899506638e-14,3.630136070365699e-14,3.78558347379401e-14,3379918.365282003,1411567.87890533,6152727.181371655,6499.173431748608,362.1463681121728,-3645.514733436516,-3.707880980030609e-08,-3.8054864148762135e-08,-2.747539706859925e-08
2023-04-23 00:10:12,-1.3827720701880033e-13,1.828174471202852e-14,3.616513231688572e-14,3.79372477006547e-14,3476990.6221091743,1416828.0421019506,6097295.874181952,6443.530079664391,339.19386023435135,-3745.178637486162,-3.61976844054368e-08,-3.8165093085851254e-08,-4.258366992360152e-08
2023-04-23 00:10:27,-4.567993695588767e-13,1.8362983460160343e-14,3.604682731036928e-14,3.8013030121569036e-14,3573216.4117044997,1421743.2762704839,6040376.371754458,6386.315664437186,316.1577547510837,-3843.932658468972,-5.595272289937725e-08,-3.3663774878789354e-08,-2.147638955563025e-08
2023-04-23 00:10:42,-4.083293453238025e-13,1.8443153194506545e-14,3.594654577212715e-14,3.80829385407583e-14,3668572.3060450624,1426312.3839332212,5981982.563908159,6327.544020278706,293.0436493793967,-3941.7526876914553,-6.941408159377715e-08,-4.236427275650101e-08,-4.977395473559909e-08
2023-04-23 00:10:57,-6.416283435559602e-13,1.852220822693647e-14,3.586432786349193e-14,3.8146819132096127e-14,3763035.016632973,1430534.22361623,5922128.58084129,6267.229237208112,269.85715610443543,-4038.614761108527,-6.886872494504814e-08,-3.898998035545276e-08,-1.0227928726180835e-08
2023-04-23 00:11:12,-8.504396276027334e-13,1.86000739041032e-14,3.58000641117008e-14,3.8204494429296144e-14,3856581.5413903226,1434407.7654291536,5860829.029054722,6205.385914171206,246.60391342321205,-4134.495213214698,-9.081322893678134e-08,-4.453947610727482e-08,-1.0451142173906192e-08
