TCA,DCA
2023-05-05 09:59:41.989500,4.4792374998311
2023-05-05 09:59:41.984,6.646864080688858
2023-05-05 09:59:41.987400,5.206040192547518
2023-05-05 09:59:41.988500,4.698156807539159
2023-05-05 09:59:41.986200,5.954140788895119
2023-05-05 09:59:41.984400,6.101063962089802
2023-05-05 09:59:41.988800,4.847812147224774
2023-05-05 09:59:41.983600,6.59197202049084
2023-05-05 09:59:41.989500,4.661588623838895
2023-05-05 09:59:41.986900,5.344143838187739
2023-05-05 09:59:41.986,5.910270712540525
2023-05-05 09:59:41.988,4.904378677882273
2023-05-05 09:59:41.985,6.024076416406179
2023-05-05 09:59:41.986500,5.326068575442832
2023-05-05 09:59:41.984600,6.268805105587637
2023-05-05 09:59:41.986800,5.724261305681885
2023-05-05 09:59:41.982100,7.245109055175131
2023-05-05 09:59:41.983500,6.455109937335577
2023-05-05 09:59:41.984400,6.232089750447512
2023-05-05 09:59:41.989100,4.642812539954591
2023-05-05 09:59:41.987100,5.541619317761468
2023-05-05 09:59:41.989400,4.491859472499612
2023-05-05 09:59:41.982200,7.505378651183624
2023-05-05 09:59:41.986,5.779950546309929
2023-05-05 09:59:41.979700,7.902047906243855
2023-05-05 09:59:41.981400,7.1555327959645965
2023-05-05 09:59:41.982500,7.152012308429913
2023-05-05 09:59:41.978700,8.54048094019509
2023-05-05 09:59:41.982,7.0542398885035125
2023-05-05 09:59:41.990900,3.991094199831239
2023-05-05 09:59:41.989100,4.387117347614113
2023-05-05 09:59:41.990700,3.7989450618509983
2023-05-05 09:59:41.989700,4.2616582131919
2023-05-05 09:59:41.985900,5.9721268603496345
2023-05-05 09:59:41.984500,5.810186587491274
2023-05-05 09:59:41.987500,5.291325695245454
2023-05-05 09:59:41.990100,4.461967041991407
2023-05-05 09:59:41.985100,6.131387388075643
2023-05-05 09:59:41.989600,4.430076112758904
2023-05-05 09:59:41.982400,7.041683301770843
2023-05-05 09:59:41.986400,5.633310914031019
2023-05-05 09:59:41.984,6.632801050174884
2023-05-05 09:59:41.981400,7.362716249429457
2023-05-05 09:59:41.992700,3.359908922051855
2023-05-05 09:59:41.986,5.607248245226836
2023-05-05 09:59:41.990500,3.8696017116848456
2023-05-05 09:59:41.985200,6.014871613653613
2023-05-05 09:59:41.979300,8.073409194332271
2023-05-05 09:59:41.985500,5.973293893481023
2023-05-05 09:59:41.991800,3.340416124237324
2023-05-05 09:59:41.987800,5.201419699456576
2023-05-05 09:59:41.986,5.598712983595021
2023-05-05 09:59:41.984400,6.236251783014395
2023-05-05 09:59:41.988700,4.9765909826574735
2023-05-05 09:59:41.988800,4.3605376849912005
2023-05-05 09:59:41.985500,6.091662323525868
2023-05-05 09:59:41.989300,4.808656762621896
2023-05-05 09:59:41.989500,4.350502421242742
2023-05-05 09:59:41.986100,5.864373367618599
2023-05-05 09:59:41.984300,6.252029710624477
2023-05-05 09:59:41.987500,5.073284217397132
2023-05-05 09:59:41.986500,5.581899232733711
2023-05-05 09:59:41.987800,4.79940272524363
2023-05-05 09:59:41.981300,7.406114029999381
2023-05-05 09:59:41.991700,3.7079710497449714
2023-05-05 09:59:41.990400,4.413440382143396
2023-05-05 09:59:41.991100,3.910050705772401
2023-05-05 09:59:41.984,6.25870606433184
2023-05-05 09:59:41.983200,6.671206167823135
2023-05-05 09:59:41.986600,5.494570990233309
2023-05-05 09:59:41.985200,5.807574537511773
2023-05-05 09:59:41.987,5.519105589994724
2023-05-05 09:59:41.985600,5.832507393933366
2023-05-05 09:59:41.985400,5.871317296103878
2023-05-05 09:59:41.981800,7.279622714445691
